Designated,Designated Use,Line Name
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,All,79-216
No,Electric-only,121-220
No,Electric-only,121-220
No,Electric-only,121-220
No,Electric-only,121-220
No,Electric-only,121-220
No,Electric-only,121-220
No,Electric-only,121-220
No,Electric-only,121-220
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-240
No,All,121-240
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-240
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-221
No,All,121-240
No,All,121-240
No,All,121-240
No,All,121-240
No,All,121-240
No,All,121-240
No,All,121-240
No,All,121-240
No,All,121-240
No,All,121-240
No,All,121-240
No,All,121-240
No,Electric-only,220-221
No,All,121-240
No,All,121-240
No,All,121-240
No,All,121-240
No,All,121-240
No,All,121-240
No,All,121-240
No,All,121-240
No,All,121-240
No,All,121-240
No,All,126-218
No,All,126-218
No,All,126-218
No,All,126-218
No,All,126-218
No,All,126-218
No,All,126-218
No,All,126-218
No,All,126-218
No,All,126-218
No,All,126-218
No,All,126-218
No,All,126-218
No,All,126-218
No,Underground-only,126-218
No,Underground-only,126-218
No,Underground-only,126-218
No,Underground-only,126-218
No,Underground-only,126-218
No,Underground-only,126-218
No,Underground-only,126-218
No,Underground-only,126-218
No,Underground-only,126-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-218
No,All,129-221
No,All,129-221
No,All,129-221
No,All,129-221
No,All,129-221
No,All,129-221
No,All,129-221
No,All,129-221
No,All,129-221
No,All,218-240
No,All,218-240
No,All,218-240
No,All,218-240
No,All,218-240
No,All,218-240
No,All,218-240
No,Electric-only,219-220
No,Electric-only,219-220
No,All,218-240
No,All,218-240
No,All,218-240
No,All,218-240
No,Electric-only,219-220
No,Electric-only,219-220
No,Electric-only,220-221
No,Electric-only,220-221
No,Electric-only,220-221
No,Electric-only,220-221
No,Electric-only,220-221
No,Electric-only,220-221
No,Electric-only,220-221
No,Electric-only,220-221
No,Electric-only,220-221
No,Electric-only,220-221
No,Electric-only,220-221
No,Electric-only,220-221
No,Electric-only,220-221
No,Electric-only,220-221
No,Electric-only,220-221
No,Electric-only,220-221
No,Electric-only,220-221
No,Electric-only,220-221
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,55-240
No,All,73-129
No,All,73-129
Yes,All,126-133
No,All,126-133
No,All,126-133
No,All,126-133
No,All,126-133
No,All,126-133
No,All,126-133
No,All,126-133
No,All,126-133
Yes,All,126-133
Yes,All,126-133
Yes,All,126-133
Yes,All,126-133
Yes,All,126-133
Yes,All,126-133
Yes,All,126-133
Yes,All,126-133
Yes,All,126-133
Yes,All,126-133
Yes,All,126-133
Yes,All,126-133
Yes,All,126-133
Yes,All,126-133
Yes,All,126-133
Yes,All,126-133
No,All,126-218
No,All,126-218
No,All,126-218
No,All,126-218
No,All,126-218
No,All,126-218
No,All,126-218
No,All,126-218
No,All,126-218
No,All,126-218
No,All,126-218
No,All,126-258
No,All,126-258
No,All,126-258
