Name,Type,City,County,State,FAA Region,Site No.,Control Tower,Facility Use,Owner Type,Latitude,Longitude
THE HUNTSVILLE HOSPITAL,HELIPORT,HUNTSVILLE,MADISON,AL,ASO,00385.12*H,N,PR,PU,34.7209241667,-86.5805477778
RIPLEY,AIRPORT,RIPLEY,TIPPAH,MS,ASO,11415.1*A,N,PU,PU,34.7222666667,-89.0150500000
LANCASTER COUNTY-MC WHIRTER FIELD,AIRPORT,LANCASTER,LANCASTER,SC,ASO,22366.1*A,N,PU,PU,34.7229043889,-80.8545900833
DALTON MUNI,AIRPORT,DALTON,WHITFIELD,GA,ASO,03752.*A,N,PU,PU,34.7229444444,-84.8702500000
ANNA'S,AIRPORT,WALHALLA,OCONEE,SC,ASO,22556.5*A,N,PR,PR,34.7250000000,-83.0850000000
CURTIS AND CURTIS,AIRPORT,FORREST,QUAY,NM,ASW,14608.01*A,N,PR,PR,34.7267330556,-103.6096822222
CRYSTAL RIDGE,AIRPORT,LITTLE ROCK,PULASKI,AR,ASW,01056.09*A,N,PR,PR,34.7275777778,-92.5168388889
BEARDEN PRIVATE AIRSTRIP,AIRPORT,LINDSAY,GARVIN,OK,ASW,19076.1*A,N,PR,PR,34.7286111111,-97.6058333333
THOMAS RANCH,AIRPORT,ADA,PONTOTOC,OK,ASW,18770.3*A,N,PR,PR,34.7286994444,-96.6011194444
LUDLOW,AIRPORT,BARSTOW,SAN BERNARDINO,CA,AWP,01299.8*A,N,PR,PR,34.7287694444,-116.1586750000
ADAMS FIELD,AIRPORT,LITTLE ROCK,PULASKI,AR,ASW,01056.*A,Y,PU,PU,34.7294444444,-92.2247777778
VANDENBERG AFB,AIRPORT,LOMPOC,SANTA BARBARA,CA,AWP,01788.1*A,Y,PR,MA,34.7296666667,-120.5768333333
CHICKASAW NATION MEDICAL CENTER,HELIPORT,ADA,PONTOTOC,OK,ASW,18770.32*H,N,PR,PR,34.7300333333,-96.6435083333
COTTONWOOD,AIRPORT,COTTONWOOD,YAVAPAI,AZ,AWP,00665.*A,N,PU,PU,34.7300555556,-112.0351388889
TRIPLE M,AIRPORT,CAPE CARTERET,CARTERET,NC,ASO,16585.3*A,N,PR,PR,34.7304391667,-77.0505030556
MARCUS J LAWRENCE MEDICAL CENTER,HELIPORT,COTTONWOOD,YAVAPAI,AZ,AWP,00665.1*H,N,PR,PR,34.7333544444,-112.0296019444
MICHAEL J. SMITH FIELD,AIRPORT,BEAUFORT,CARTERET,NC,ASO,16533.*A,N,PU,PU,34.7335433056,-76.6605851389
ROCKING A FARM,AIRPORT,WHITE OAK,BLADEN,NC,ASO,17204.8*A,N,PR,PR,34.7336111111,-78.7530555556
STEPHENS,HELIPORT,LITTLE ROCK,PULASKI,AR,ASW,01056.05*H,N,PR,PR,34.7364808333,-92.5087697222
ARKANSAS HEART HOSPITAL,HELIPORT,LITTLE ROCK,PULASKI,AR,ASW,01056.08*H,N,PR,PR,34.7391666667,-92.3927777778
MEMPHIS MUNI,AIRPORT,MEMPHIS,HALL,TX,ASW,24339.*A,N,PU,PU,34.7395894444,-100.5297008333
R.V. STEWART FIELD,AIRPORT,NORTH LITTLE ROCK,PULASKI,AR,ASW,01118.01*A,N,PR,PR,34.7398133333,-92.0901438889
GENERAL WM J FOX AIRFIELD,AIRPORT,LANCASTER,LOS ANGELES,CA,AWP,01754.2*A,Y,PU,PU,34.7410555556,-118.2186388889
