Site Name,State or Territory,Branch and Status
"NAVBASE Guam Magazine Reservoir, Naval Magazine",Guam,Navy Active
NAVSUPPDET Monterey,California,Navy Active
NB San Diego Chollas Heights Hsg,California,Navy Active
NAVSUPPDET Monterey Navy School Annex,California,Navy Active
Hawthorne Nevada,Nevada,Navy Active
NWS Seal Beach Fallbrook California,California,Navy Active
NOSC Denver,Colorado,Navy Reserve
NAWS China Lake,California,Navy Active
San Pedro Fuel Depot,California,Navy Active
NB Point Loma Fleet ASW,California,Navy Active
NAVBASE Ventura City Point Mugu,California,Navy Active
San Nicolas Island,California,Navy Active
NB San Diego Howard Gilmore,California,Navy Active
NB San Diego Eucalyptus Housing,California,Navy Active
Shell Basefield,Alabama,Army Active
NWS Seal Beach,California,Navy Active
NAVPMOSSP Mtn View,California,Navy Active
NAVPHIBASE Seal Side,California,Navy Active
NB Point Loma Admiral Hartman Housing 3,California,Navy Active
NB Point Loma Admiral Hartman Housing 2,California,Navy Active
NB Point Loma Admiral Hartman Housing 1,California,Navy Active
Former NAVPHIBASE Coronado,California,Navy Active
NAVSUPPDET Monterey Det Magna Utah,Utah,Navy Active
NAS Fallon Target B-20,Nevada,Navy Active
NB San Diego Terrace View Villas,California,Navy Active
NB San Diego Bayview Hills Housing,California,Navy Active
NAVSUPPDET Monterey Dixon Transmitter Fac,California,Navy Active
NAVSUPPDET Monterey La Mesa Village,California,Navy Active
NB San Diego Murphy Canyon,California,Navy Active
NB Coronado Clev NF Survival Tra,California,Navy Active
NB San Diego National City,California,Navy Active
NB Point Loma Chesterton Hsg,California,Navy Active
NB San Diego Mission Gorge,California,Navy Active
Allen Stagefield,Alabama,Army Active
Port Hueneme,California,Navy Active
NOSC LA N62103,California,Navy Reserve
NOSC Alameda,California,Navy Reserve
NB Point Loma,California,Navy Active
NAS Fallon Target B-19,Nevada,Navy Active
NAS Fallon Target B-17,Nevada,Navy Active
NB Coronado Imperial Beach,California,Navy Active
White Sands NM,New Mexico,Navy Active
Highbluff Stagefield,Alabama,Army Active
Portland IAP,Oregon,AF Guard
Mather AFB,California,AF Active
McClellan AFB,California,AF Active
March AFB,California,AF Active
ITC Camp San Luis Obisbo,California,Army Guard
Camp Rapid,South Dakota,Army Guard
MTA Camp Rilea,Oregon,Army Guard
MTCH Camp Guernsey,Wyoming,Army Guard
MCB Camp Lejeune Oak Grove,North Carolina,MC Active
Naval Support Unit Saratoga Springs,New York,Navy Active
Naval Hospital,Guam,Navy Active
NSA Mechanicsburg Det Philadelphia PA,Pennsylvania,Navy Active
Toth Stagefield,Alabama,Army Active
NAVBASE Guam Naval Magazine,Guam,Navy Active
NAVBASE Guam Apra Heights,Guam,Navy Active
Tenjo Vista,Guam,Navy Active
Sasa Valley,Guam,Navy Active
Nimitz Hill,Guam,Navy Active
NAVSUBASE New London Trident Park,Connecticut,Navy Active
"NAVBASE Guam Finegayan, South",Guam,Navy Active
NAVBASE Guam Barrigada,Guam,Navy Active
Andersen Supply Annex,Guam,Navy Active
Andersen Petrol Product Storage Annex #2,Guam,Navy Active
Andersen Petrol Product Storage Annex #1,Guam,Navy Active
Andersen Communications Annex #2,Guam,Navy Active
Andersen AFB,Guam,Navy Active
Dandan,Guam,Navy Active
Yorktown Fuel Depot,Virginia,Navy Active
NSA Norfolk SDA Area,Virginia,Navy Active
Andersen Administration Annex,Guam,Navy Active
NAVBASE Guam Harmon,Guam,Navy Active
NAVBASE Guam Marbo,Guam,Navy Active
Agana,Guam,Navy Active
Santa Rosa Parcel A,Guam,Navy Active
Cheatham Annex,Virginia,Navy Active
NSA Norfolk Northwest Chesapke Va,Virginia,Navy Active
Craney Island,Virginia,Navy Active
NSA Norfolk Fire Fighters School,Virginia,Navy Active
NSA Norfolk,Virginia,Navy Active
NSA Norfolk New Gosport/NNSY,Virginia,Navy Active
NSA Washington,District of Columbia,Navy Active
