Buffer Distance,Comments,Designated,Designated Use,Name,Width (ft)
0.00000000000,"Multimodal, designated, variable width",Yes,All,113-114,-1
0.00000000000,"Electric upgrade only, designated, 500' width",Yes,"Elec-only, Upgr-only",102-105,500
0.00000000000,"Multimodal, designated, 5280' width",Yes,All,113-116,5280
0.00000000000,"Multimodal, designated, 5280' width",Yes,All,113-116,5280
0.00000000000,"Multimodal, designated, default 3500' width",Yes,All,47-68,3500
0.00000000000,"Multimodal, designated, default 3500' width",Yes,All,113-114,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,39-113,3500
0.00000000000,"Electric only, designated, 5280' width",Yes,Electric-only,47-231,5280
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,24-228,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,223-224,3500
0.00000000000,"Multimodal, designated, 2640' width",Yes,All,37-232,2640
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,224-225,3500
0.00000000000,"Multimodal, not designated, 5280' width",No,All,113-116,5280
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,223-224,3500
0.00000000000,"Multimodal, not designated, 1320' width",No,All,18-23,1320
0.00000000000,"Multimodal, designated, 2000' width",Yes,All,47-231,2000
0.00000000000,"Multimodal, not designated, variable width",No,All,18-23,-1
0.00000000000,"Multimodal,  not designated, 1320' width",No,All,18-23,1320
0.00000000000,"Underground only, not designated, 2400' width",No,Underground-only,37-223 (S),2400
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,37-39,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,39-231,3500
0.00000000000,"Multimodal, not designated, variable width",No,All,223-224,-1
0.00000000000,"Multimodal, designated, 1660' width",Yes,All,47-231,1660
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,27-225,3500
0.00000000000,"Multimodal, designated, 2640' width",Yes,All,43-111,2640
0.00000000000,"Multimodal, designated, 2640' width",Yes,All,110-233,2640
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,51-204,3500
0.00000000000,"Multimodal, designated, 2640' width",Yes,All,44-110,2640
0.00000000000,"Multimodal, not designated, 1000' width",No,All,36-228,1000
0.00000000000,"Multimodal, not designated, variable width",No,All,39-231,-1
0.00000000000,"Electric only, not designated, 2000' width",No,Electric-only,261-262,2000
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,113-114,3500
0.00000000000,"Multimodal, designated, default 3500' width",Yes,All,101-263,3500
0.00000000000,"Multimodal, not designated, 1000' width",No,All,36-228,1000
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,39-231,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,6-15,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,68-116,3500
0.00000000000,"Multimodal, designated, 15840' width",Yes,All,111-226,1584
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,36-228,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,16-24,3500
0.00000000000,"Multimodal,  not designated, 1320' width",No,All,18-23,1320
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,16-17,3500
