Name,City,State,Zip Code,Plant Operator,Plant Desc.,Operating Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Planned Capacity (MW),Retired Capacity (MW),Operating Units,Planned Units,Retired Units,Fuel 1,Fuel 2,Net Gen. MWh,Capacity Factor,Sub 1,Sub 2,No. Lines,NAICS Code,NAICS Desc.,SIC Code,Source,Source Date
Eastlake (OH),"Timberlake, OH",OH,44095,FirstEnergy Generation Corp,"Coal-fired Power Plant (1289 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1289,1257,1262,0,0,6,0,0,Coal,Petro,5399580,49.04,Eastlake,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Lake Road (OH),"Bratenahl, OH",OH,44114,Cleveland Public Power,"Coal-fired Power Plant (75 MW of operating capacity, 0 MW of planned capacity, and 85 MW of retired capacity)",75,75,75,0,85,3,0,1,Coal,,0,0,Lake Road (OH),,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Lake Shore,"Bratenahl, OH",OH,44103,FirstEnergy Generation Corp,"Petro-fired Power Plant (260 MW of operating capacity, 0 MW of planned capacity, and 258 MW of retired capacity)",260,249,249,0,258,3,0,4,Petro,Petro,276162,12.66,Lake Shore,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Nexgen North Perry Wind,"North Perry, OH",OH,44081,Nexgen Energy Partners LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 3.2 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,3.2,0,0,1,0,Renew,,0,0,Nexgen North Perry Wind,,0,221119,Other Electric Power Generation,491,Ventyx Research,05/2010
Painesville,"Painesville, OH",OH,44077,Painesville Electric Light Dept,"Coal-fired Power Plant (53.5 MW of operating capacity, 0 MW of planned capacity, and 31 MW of retired capacity)",53.5,47.5,47.5,0,31,4,0,3,Coal,,108457,26.07,Painesville,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Painesville IC,"Fairport Harbor, OH",OH,44077,American Municipal Power Inc,"Petro-fired Power Plant (6 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",6,6,6,0,0,1,0,0,Petro,,0,0,Painesville Ic,,2,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Perry (OH),"North Perry, OH",OH,44081,FirstEnergy Nuclear Operating Co,"Nuclear Power Plant (1312.5 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1312.5,1240,1268,0,0,1,0,0,Nuc,,7596470,69.93,Perry,,1,221113,Nuclear Electric Power Generation,491,Aerial Imagery,na
Auglaize Hydro,"Defiance, OH",OH,43512,Bryan Municipal Utilities,"Hydroelectric Power Plant (3.4 MW of operating capacity, 0 MW of planned capacity, and 1.4 MW of retired capacity)",3.4,3.9,3.9,0,1.4,6,0,1,Water,,7518,22.01,Auglaize Hydro,,0,221111,Hydroelectric Power Generation,491,Aerial Imagery,na
BNB Napoleon Solar,"Napoleon, OH",OH,43545,BNB Napoleon Solar LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 9.8 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,9.8,0,0,1,0,Renew,,0,0,BNB Napoleon Solar,,0,221119,Other Electric Power Generation,491,Ventyx Research,02/2011
Bowling Green (AMP),"Bowling Green, OH",OH,43402,American Municipal Power Inc,"Gas-fired Power Plant (49.5 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",49.5,38,49.5,0,0,2,0,0,Gas,,529,0.16,Bowling Green (Amp),,0,221112,Fossil Fuel Electric Power Generation,491,Ventyx Research,na
Bowling Green Peaking,"Bowling Green, OH",OH,43402,American Municipal Power Inc,"Gas-fired Power Plant (32 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",32,29,32,0,0,1,0,0,Gas,,136,0.05,Bowling Green Peaking,,0,221112,Fossil Fuel Electric Power Generation,491,Nearest City,04/2003
Bowling Green Wind Farm Project,"Tontogany, OH",OH,43402,Bowling Green OH (City of),"Renewable Energy Power Plant (16 MW of operating capacity, 6 MW of planned capacity, and 0 MW of retired capacity)",16,16,16,6,0,6,1,0,Renew,Renew,14127,10.08,Bowling Green (Oh BWLGRN),,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Bryan Peaking,"Bryan, OH",OH,43506,American Municipal Power Inc,"Petro-fired Power Plant (10.8 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",10.8,10.8,10.8,0,0,6,0,0,Petro,,98,0.1,Bryan Peaking,,0,221112,Fossil Fuel Electric Power Generation,491,Nearest City,na
Bryan(OH),"Bryan, OH",OH,43506,Bryan Municipal Utilities,"Gas-fired Power Plant (39.3 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",39.3,31.5,47.5,0,0,4,0,0,Gas,,-579,-0.21,Bryan,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,12/2001
Fremont Energy Center,"Fremont, OH",OH,43420,American Municipal Power Inc,"Gas-fired Power Plant (0 MW of operating capacity, 703 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,703,0,0,1,0,Gas,,0,0,Fremont Energy Center,,0,221112,Fossil Fuel Electric Power Generation,491,Regional Maps; Ventyx Research,07/2002
Genoa Diesel Generating Station,"Genoa, OH",OH,43430,Genoa (Village of),"Petro-fired Power Plant (6 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",6,6,6,0,0,3,0,0,Petro,,26,0.05,Genoa Diesel Generating Station,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Napoleon (City),"Napoleon, OH",OH,43545,Napoleon OH (City of),"Petro-fired Power Plant (5.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",5.4,5.4,5.4,0,0,3,0,0,Petro,,15,0.03,Napoleon (City),,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Napoleon Biogas Facility,"Napoleon, OH",OH,43545,Napoleon Biogas LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 2.852 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,2.852,0,0,2,0,Renew,,0,0,Napoleon Biogas Facility,,0,221119,Other Electric Power Generation,491,FERC eLibrary,05/2011
Napoleon Peaking GT (AMP),"Napoleon, OH",OH,43545,American Municipal Power Inc,"Gas-fired Power Plant (49.5 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",49.5,38,49.5,0,0,2,0,0,Gas,,450,0.14,Napoleon Peaking GT (Amp),,0,221112,Fossil Fuel Electric Power Generation,491,Ventyx Research,na
Napoleon Peaking IC (AMP),"Napoleon, OH",OH,43545,American Municipal Power Inc,"Petro-fired Power Plant (5.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",5.4,5.4,5.4,0,0,3,0,0,Petro,,22,0.05,Napoleon Peaking Ic (Amp),,0,221112,Fossil Fuel Electric Power Generation,491,Ventyx Research,na
Richland,"Defiance, OH",OH,43512,FirstEnergy Generation Corp,"Gas-fired Power Plant (450 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",450,369,432,0,0,6,0,0,Gas,Petro,555,0.02,Richland Peaking,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,07/2002
Stryker,"Stryker, OH",OH,43557,FirstEnergy Generation Corp,"Petro-fired Power Plant (19 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",19,17,18,0,0,1,0,0,Petro,,-176,-0.12,Stryker,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,07/2002
Troy (OH),"Luckey, OH",OH,43551,Troy Energy LLC,"Gas-fired Power Plant (688 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",688,584,676,0,0,4,0,0,Gas,,31982,0.63,Troy (OH),,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,07/2002
Wood County Wind Farm,"Tontogany, OH",OH,43402,American Municipal Power Inc,"Renewable Energy Power Plant (0 MW of operating capacity, 49.9 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,49.9,0,0,1,0,Renew,,0,0,Wood County Wind Farm,,0,221119,Other Electric Power Generation,491,Ventyx Research,05/2007
Avon Lake,"Avon Lake, OH",OH,44012,GenOn Power Midwest LP,"Coal-fired Power Plant (870 MW of operating capacity, 0 MW of planned capacity, and 423 MW of retired capacity)",870,752,760,0,423,4,0,6,Coal,,3099600,47.05,Avon Lake,Avon Lake (Secondary),2,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Bio Gas Project,"Huron, OH",OH,44846,Bio Gas Technologies,"Renewable Energy Power Plant (3.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",3.4,3.22,3.22,0,0,1,0,0,Renew,,0,0,Bio Gas Project,,0,221119,Other Electric Power Generation,491,Street Address,10/2007
Chagrin Spillway Hydro,"Chagrin Falls, OH",OH,44022,Hydro Energy Technologies LLC,"Hydroelectric Power Plant (0 MW of operating capacity, 0.2 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,0.2,0,0,1,0,Water,,0,0,Chagrin Spillway Hydro,,0,221111,Hydroelectric Power Generation,491,FERC eLibrary,02/2009
Cleveland (OH ISGCLVLND),"Cleveland, OH",OH,44114,ISG Cleveland Inc,"Gas-fired Power Plant (45 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",45,45,45,0,0,4,0,0,Gas,,44181,11.21,Hamilton,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Cleveland Peaking,"Cleveland, OH",OH,44113,American Municipal Power Inc,"Petro-fired Power Plant (10.8 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",10.8,10.8,10.8,0,0,6,0,0,Petro,,0,0,Cleveland Peaking,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Cuyahoga Regional Landfill,"Oakwood, OH",OH,44146,MM Cuyohega Energy LLC,"Renewable Energy Power Plant (3.8 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",3.8,3.6,3.6,0,0,2,0,0,Renew,,0,0,Cuyahoga Regional Landfill,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Edgewater (OH),"Lorain, OH",OH,44052,FirstEnergy Generation Corp,"Gas-fired Power Plant (57.6 MW of operating capacity, 0 MW of planned capacity, and 202.6 MW of retired capacity)",57.6,38,48,0,202.6,2,0,3,Gas,,-264,-0.08,Edgewater,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,04/2002
Oberlin (OH),"Oberlin, OH",OH,44074,Oberlin OH (City of),"Gas-fired Power Plant (22.5 MW of operating capacity, 0 MW of planned capacity, and 2.1 MW of retired capacity)",22.5,21.95,21.95,0,2.1,11,0,3,Gas,Petro,0,0,Oberlin (OH),,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Oberlin Landfill,"Oberlin, OH",OH,44074,Energy Developments Ltd,"Renewable Energy Power Plant (11.2 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",11.2,11.2,11.2,0,0,8,0,0,Renew,,76211,77.68,Oberlin Landfill,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Ridge Road Transfer Station,"Brooklyn, OH",OH,44144,Cleveland OH (City of),"Renewable Energy Power Plant (0 MW of operating capacity, 20 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,20,0,0,1,0,Renew,,0,0,Ridge Road Transfer Station,,0,221119,Other Electric Power Generation,491,Ventyx Research,08/2009
Wci Steel Inc,"Warren, OH",OH,44484,Severatal Warren Inc,"Gas-fired Power Plant (20.5 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",20.5,19.07,19.27,0,0,3,0,0,Gas,,20958,12.55,Wci Steel Inc,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,04/2002
West 41ST Street,"Cleveland, OH",OH,44113,Cleveland Public Power,"Gas-fired Power Plant (32 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",32,32,36,0,0,2,0,0,Gas,,824,0.29,West 41ST St,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
West Lorain,"Amherst, OH",OH,44053,FirstEnergy Generation Corp,"Gas-fired Power Plant (555.6 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",555.6,539,545,0,0,7,0,0,Gas,Petro,2768,0.06,Beaver,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,04/2002
Ashtabula,"Edgewood, OH",OH,44004,FirstEnergy Generation Corp,"Coal-fired Power Plant (256 MW of operating capacity, 0 MW of planned capacity, and 384 MW of retired capacity)",256,244,244,0,384,1,0,8,Coal,,609500,28.52,Ashtabula,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Ashtabula (CINERGY/TRIGEN),"Edgewood, OH",OH,44004,SUEZ DEGS Ashtabula LLC,"Gas-fired Power Plant (26.1 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",26.1,23.4,28.6,0,0,2,0,0,Gas,,148887,72.63,Ashtabula,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Prospect Municipal,"Marion, OH",OH,43302,American Municipal Power Inc,"Petro-fired Power Plant (1.8 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.8,1.8,1.8,0,0,1,0,0,Petro,,2,0.01,Prospect Municipal,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Dover (OH),"Dover, OH",OH,44622,Dover OH (City of),"Coal-fired Power Plant (51.6 MW of operating capacity, 0 MW of planned capacity, and 4 MW of retired capacity)",51.6,42.9,42.9,0,4,5,0,1,Coal,Gas,74293,19.77,Dover (OH),,0,221112,Fossil Fuel Electric Power Generation,491,Ventyx Research,na
Dover Peaking,"Dover, OH",OH,44622,American Municipal Power Inc,"Petro-fired Power Plant (10.8 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",10.8,10.8,10.8,0,0,6,0,0,Petro,,86,0.09,Dover Peaking,,0,221112,Fossil Fuel Electric Power Generation,491,Ventyx Research,na
Toronto,"New Cumberland, WV",OH,43964,Ohio Edison Co,"Coal-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 313 MW of retired capacity)",0,0,0,0,313,0,0,7,Coal,,0,0,Toronto,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
W H Sammis,"Stratton, OH",OH,43964,FirstEnergy Generation Corp,"Coal-fired Power Plant (2468.1 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",2468.1,2233,2233,0,0,12,0,0,Coal,Petro,8820100,45.09,W H Sammis,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Galion (OH AMP OH),"Galion, OH",OH,44833,American Municipal Power Inc,"Petro-fired Power Plant (5.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",5.4,5.4,5.4,0,0,3,0,0,Petro,,13,0.03,Galion (Oh Amp Oh),,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Galion Generating Station,"Galion, OH",OH,44833,American Municipal Power Inc,"Gas-fired Power Plant (49.5 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",49.5,38,49.5,0,0,2,0,0,Gas,,602,0.18,Galion Generating Station,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Hardin Wind Farm,"Alger, OH",OH,45812,Hardin Wind Energy LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 300 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,300,0,0,1,0,Renew,,0,0,Hardin Wind Farm,,0,221119,Other Electric Power Generation,491,Ventyx Research,06/2009
Hog Creek Wind Farm,"Ada, OH",OH,45810,JW Great Lakes Wind LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 67 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,67,0,0,2,0,Renew,,0,0,Hardin North Project,,0,221119,Other Electric Power Generation,491,Company Maps; Ventyx Research,2010
Ohio Northern University Ada Wind,"Ada, OH",OH,45810,Nexgen Energy Partners LLC,"Renewable Energy Power Plant (1.2 MW of operating capacity, 0.4 MW of planned capacity, and 0 MW of retired capacity)",1.2,1.2,1.2,0.4,0,1,1,0,Renew,,0,0,Ohio Northern University Ada Wind,,0,221119,Other Electric Power Generation,491,Ventyx Research,05/2010
Orrville,"Orrville, OH",OH,44667,Orrville OH (City of),"Coal-fired Power Plant (84.5 MW of operating capacity, 0 MW of planned capacity, and 4 MW of retired capacity)",84.5,78.5,78.5,0,4,5,0,2,Coal,,301361,43.82,Orrville,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Orrville Peaking,"Orrville, OH",OH,44667,American Municipal Power Inc,"Petro-fired Power Plant (5.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",5.4,5.4,5.4,0,0,3,0,0,Petro,,40,0.08,Orrville Peaking,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
New Castle Plant,"South New Castle, PA",PA,16157,GenOn Power Midwest LP,"Coal-fired Power Plant (354.4 MW of operating capacity, 0 MW of planned capacity, and 70 MW of retired capacity)",354.4,325,338,0,70,5,0,2,Coal,Petro,617961,21.71,New Castle,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,04/2002
Meadville Power Station,"Sheakleyville, PA",PA,16111,Crawford Renewable Energy,"Power Plant (0 MW of operating capacity, 90 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,90,0,0,1,0,Other,,0,0,Erie Tire Project,,0,221119,Other Electric Power Generation,491,Ventyx Research,04/2010
Wayne (PA),"Cochranton, PA",PA,16314,GenOn REMA LLC,"Petro-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 53 MW of retired capacity)",0,0,0,0,53,0,0,1,Petro,,0,0,Wayne (PA),,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,2004
General Electric Co,"Fredonia, PA",PA,16137,General Electric Co,"Petro-fired Power Plant (4.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",4.4,4.3,4.2,0,0,1,0,0,Petro,,436,1.16,General Electric Co,,0,221112,Fossil Fuel Electric Power Generation,491,County Centroid,na
Erie Coke Corp,"Erie, PA",PA,16507,Erie Coke Corp,"Gas-fired Power Plant (2.5 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",2.5,1,1.26,0,0,1,0,0,Gas,,949,10.83,Erie Coke Corp,,0,221112,Fossil Fuel Electric Power Generation,491,Street Address,na
Erie Mill,"Lawrence Park, PA",PA,16511,International Paper Co,"Coal-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 44.5 MW of retired capacity)",0,0,0,0,44.5,0,0,4,Coal,,0,0,Erie Mill,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Front Street (PA),"Erie, PA",PA,16507,Pennsylvania Electric Co,"Coal-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 122.6 MW of retired capacity)",0,0,0,0,122.6,0,0,5,Coal,,0,0,Front St (PA),,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
General Electric Erie PA Power,"Erie, PA",PA,16501,General Electric Erie Power,"Coal-fired Power Plant (9 MW of operating capacity, 0 MW of planned capacity, and 28 MW of retired capacity)",9,8.1,8.1,0,28,3,0,3,Coal,,0,0,General Electric Erie PA Power,,0,221112,Fossil Fuel Electric Power Generation,491,Nearest City,na
Lakeview Gas Recovery,"Wesleyville, PA",PA,16509,Bio Energy Partners,"Renewable Energy Power Plant (6 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",6,6,6,0,0,2,0,0,Renew,,38173,72.63,Lakeview Gas Recovery,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
AES Beaver Valley Partners Beaver Valley,"Vanport, PA",PA,15061,AES Beaver Valley,"Coal-fired Power Plant (149 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",149,146,151.5,0,0,2,0,0,Coal,,900156,70.38,AES Beaver Valley Partners Beaver Valley,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Beaver Valley,"Shippingport, PA",PA,15077,FirstEnergy Nuclear Operating Co,"Nuclear Power Plant (2022.46 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",2022.46,1777,1815,0,0,2,0,0,Nuc,,14011400,90.01,Beaver Valley,,1,221113,Nuclear Electric Power Generation,491,Aerial Imagery,na
Bruce Mansfield,"Shippingport, PA",PA,15077,FirstEnergy Generation Corp,"Coal-fired Power Plant (2741.1 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",2741.1,2510,2510,0,0,3,0,0,Coal,,17390600,79.09,Bruce Mansfield,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Brunot Island,"McKees Rocks, PA",PA,15233,GenOn Power Midwest LP,"Gas-fired Power Plant (365.4 MW of operating capacity, 0 MW of planned capacity, and 391.9 MW of retired capacity)",365.4,260,265,0,391.9,2,0,6,Gas,,-1868,-0.08,Brunot Island,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Emsworth Back Channel Dam,"Emsworth, PA",PA,15225,FFP Missouri 6 LLC,"Hydroelectric Power Plant (0 MW of operating capacity, 32.7 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,32.7,0,0,5,0,Water,,0,0,Emsworth Back Channel Hydroelectric Project,,0,221111,Hydroelectric Power Generation,491,Company Maps; Ventyx Research,05/2010
Emsworth Lock & Dam Hydroelectric Project,"Ben Avon, PA",PA,15202,FFP Missouri 5 LLC,"Hydroelectric Power Plant (0 MW of operating capacity, 32.7 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,32.7,0,0,5,0,Water,,0,0,Emsworth Lock & Dam Hydroelectric Project,,0,221111,Hydroelectric Power Generation,491,Aerial Imagery,na
F R Phillips,"South Heights, PA",PA,15108,GenOn Power Midwest LP,"Coal-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 410 MW of retired capacity)",0,0,0,0,410,0,0,4,Coal,,0,0,F R Phillips,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
J H Reed,"McKees Rocks, PA",PA,15233,Duquesne Light Co,"Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 180 MW of retired capacity)",0,0,0,0,180,0,0,3,,,0,0,J H Reed,,0,221119,Other Electric Power Generation,491,Ventyx Research,na
Montgomery Locks & Dam Hydrolectric,"Industry, PA",PA,,BPUS Generation Development LLC,"Hydroelectric Power Plant (0 MW of operating capacity, 49.8 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,49.8,0,0,3,0,Water,,0,0,Montgomery Locks & Dam Hydrolectric,,0,221111,Hydroelectric Power Generation,491,Aerial Imagery,08/2007
Shenango Inc,"Emsworth, PA",PA,15225,Shenango Inc,"Gas-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 11.3 MW of retired capacity)",0,0,0,0,11.3,0,0,2,Gas,,0,0,Shenango Inc,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Shippingport,"Shippingport, PA",PA,15077,Duquesne Light Co,"Coal-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 100 MW of retired capacity)",0,0,0,0,100,0,0,1,Coal,,0,0,Shippingport,,0,221112,Fossil Fuel Electric Power Generation,491,Ventyx Research,na
Beaver Valley Patterson Dam,"Beaver Falls, PA",PA,15010,Beaver Valley Power Co,"Hydroelectric Power Plant (1.2 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.2,1.14,1.11,0,0,3,0,0,Water,,4895,49.02,Beaver Valley Patterson Dam,,0,221111,Hydroelectric Power Generation,491,Aerial Imagery,na
G F Weaton Power Station,"Vanport, PA",PA,15061,Cinergy Corp,"Coal-fired Power Plant (120 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",120,112,120,0,0,2,0,0,Coal,,440851,44.93,G F Weaton Power Station,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Townsend Hydro,"Eastvale, PA",PA,15010,Beaver Falls Municipal Authority,"Hydroelectric Power Plant (5.2 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",5.2,2,4.2,0,0,2,0,0,Water,,16721,95.44,Townsend Hydro,,0,221111,Hydroelectric Power Generation,491,Aerial Imagery,na
ISG Weirton,"Weirton, WV",WV,26062,ISG Weirton Inc,"Gas-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 95 MW of retired capacity)",0,0,0,0,95,0,0,8,Gas,,0,0,Weirton Steel Corp,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Project Green Dream,"Stratton, OH",WV,,Lock Hydro Friends Fund XXX LLC,"Hydroelectric Power Plant (0 MW of operating capacity, 36 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,36,0,0,1,0,Water,,0,0,Project Green Dream,,0,221111,Hydroelectric Power Generation,491,Ventyx Research,11/2009
AES Warrior Run Cogeneration F,"Wiley Ford, WV",MD,21502,AES Warrior Run Inc,"Coal-fired Power Plant (229 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",229,180,180,0,0,1,0,0,Coal,,1147800,72.79,AES Warrior Run,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,07/2002
Criterion Wind Power Generating Facility,"Mountain Lake Park, MD",MD,21550,Criterion Power Partners LLC,"Renewable Energy Power Plant (70 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",70,70,70,0,0,1,0,0,Renew,,0,0,Criterion Wind Power Generating Facility,,0,221119,Other Electric Power Generation,491,Ventyx Research,2010
Deep Creek (MD),"Oakland, MD",MD,21541,Brookfield Renewable Power Inc,"Hydroelectric Power Plant (20 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",20,18,18,0,0,2,0,0,Water,,21757,13.8,Deep Creek,,1,221111,Hydroelectric Power Generation,491,Aerial Imagery,04/2002
Four Mile Ridge Wind,"Lonaconing, MD",MD,21539,Synergics Inc,"Renewable Energy Power Plant (0 MW of operating capacity, 60 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,60,0,0,1,0,Renew,,0,0,Four Mile Ridge Wind,,0,221119,Other Electric Power Generation,491,Ventyx Research,06/2008
Luke Mill,"Luke, MD",MD,21540,MeadWestvaco Corp,"Coal-fired Power Plant (65 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",65,65,65,0,0,2,0,0,Coal,,396013,69.55,Luke Mill,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Roth Rock Wind Power,"Bayard, WV",MD,21550,enXco Service Corp,"Renewable Energy Power Plant (50 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",50,50,50,0,0,2,0,0,Renew,,0,0,Roth Rock Wind Power,,0,221119,Other Electric Power Generation,491,Ventyx Research,na
Allegheny Hydro No 8 LP,"West Hills, PA",PA,16210,Allegheny Hydro No 8 LP,"Hydroelectric Power Plant (13.6 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",13.6,13.6,13.6,0,0,2,0,0,Water,,94027,78.92,Allegheny Hydro No 8 LP,,2,221111,Hydroelectric Power Generation,491,Aerial Imagery,na
Allegheny Hydro No 9 LP,"East Brady, PA",PA,16218,Allegheny Hydro No 9 LP,"Hydroelectric Power Plant (17.8 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",17.8,22,22,0,0,2,0,0,Water,,116711,60.56,Allegheny Hydro No 9 LP,,1,221111,Hydroelectric Power Generation,491,Aerial Imagery,na
