Name,City,State,Zip Code,Plant Operator,Plant Desc.,Operating Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Planned Capacity (MW),Retired Capacity (MW),Operating Units,Planned Units,Retired Units,Fuel 1,Fuel 2,Net Gen. MWh,Capacity Factor,Sub 1,Sub 2,No. Lines,NAICS Code,NAICS Desc.,SIC Code,Source,Source Date
Navarro Energy Center,"Richland, TX",TX,76681,Pattern Energy Group LP,"Gas-fired Power Plant (0 MW of operating capacity, 690 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,690,0,0,1,0,Gas,,0,0,Navarro Energy Center,,0,221112,Fossil Fuel Electric Power Generation,491,Ventyx Research,07/2008
Oak Grove Steam Electric Station,"Easterly, TX",TX,77856,Luminant,"Coal-fired Power Plant (1795.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1795.4,1616,1616,0,0,2,0,0,Coal,,0,0,Oak Grove Steam Electric Station,,0,221112,Fossil Fuel Electric Power Generation,491,Ventyx Research,na
Sandy Creek Energy Station,"Riesel, TX",TX,76682,Sandy Creek Energy Associates,"Coal-fired Power Plant (0 MW of operating capacity, 925 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,925,0,0,1,0,Coal,,0,0,Rattle Snake Rd,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Stryker Creek,"Reklaw, TX",TX,75789,Luminant,"Gas-fired Power Plant (713.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",713.4,683,683,0,0,7,0,0,Gas,Petro,587305,9.82,Stryker Creek,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,01/2001
Tradinghouse,"Hallsburg, TX",TX,76624,Luminant Generation Co LLC,"Gas-fired Power Plant (799.2 MW of operating capacity, 0 MW of planned capacity, and 580.5 MW of retired capacity)",799.2,799.2,799.2,0,580.5,1,0,1,Gas,,238394,3.41,Tradinghouse,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Trinidad (TX),"Trinidad, TX",TX,75163,Luminant,"Gas-fired Power Plant (243.3 MW of operating capacity, 0 MW of planned capacity, and 173 MW of retired capacity)",243.3,230,230,0,173,3,0,5,Gas,Petro,54896,2.72,Trinidad,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,01/2001
Twin Oaks Power,"Hammond, TX",TX,76629,Altura Power LP,"Coal-fired Power Plant (349.2 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",349.2,312,316,0,0,2,0,0,Coal,,2180210,79.77,TNP One,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
3M Central,"Jollyville, TX",TX,78727,Minnesota Mining & Manufacturing Co,"Gas-fired Power Plant (14.3 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",14.3,7.2,8.7,0,0,3,0,0,Gas,,14096,22.35,3M Central,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Abbott TP 3,"McQueeney, TX",TX,78123,Guadalupe Blanco River Authority,"Hydroelectric Power Plant (2.8 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",2.8,2.8,2.8,0,0,2,0,0,Water,,5381,21.94,Abbott TP 3,,0,221111,Hydroelectric Power Generation,491,Aerial Imagery,na
Amistad Dam & Power,"Del Rio, TX",TX,,International Boundary & Water Commission,"Hydroelectric Power Plant (66 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",66,75.8,75.8,0,0,2,0,0,Water,,83164,12.52,Amistad Dam & Power,,1,221111,Hydroelectric Power Generation,491,Aerial Imagery,09/2002
