Name,Owner Type,Regulation,Control Area,Plan Area,Holding Co.,Summer Peak,Winter Peak,Summer Capacity,Winter Capacity,Net Gen. MW,Source,Source Date
Florida Public Utilities Co,IOU,Regulated,Southern Co Services Inc,Gulf Power Co,Chesapeake Utilities Corp,166,179,0,0,0,Regional Maps; Ventyx Research,Unknown
Georgia Power Co,IOU,Regulated,Southern Co Services Inc,Georgia Power Co,Southern Co,16080,15173,15576.1,16114.4,72394300,Company Maps; Ventyx Research,Unknown
Alabama Power Co,IOU,Regulated,Southern Co Services Inc,Alabama Power Co,Southern Co,11154,10892,12249.6,12485.9,68773200,Regional Maps; Ventyx Research,03/2004
Alexander City AL (City of),Muni,Regulated,Southern Co Services Inc,Alabama Power Co,Alexander City AL (City of),37,34,0,0,0,Regional Maps; Ventyx Research,03/2004
Carroll Electric Member Corp,DistCoop,Regulated,Southern Co Services Inc,Oglethorpe Power Corp,Carroll Electric Member Corp,216,242,0,0,0,Previously Mapped Features; Ventyx Research,na
Choctawhatchee Electric Coop Inc,DistCoop,Regulated,PowerSouth Energy Coop,PowerSouth Energy Coop,Choctawhatchee Electric Coop Inc,184,199,0,0,0,Regional Maps; Ventyx Research,02/2009
Escambia River Electric Coop Inc,DistCoop,Regulated,PowerSouth Energy Coop,PowerSouth Energy Coop,Escambia River Electric Coop Inc,42,49,0,0,0,Regional Maps; Ventyx Research,02/2009
Coosa Valley Electric Coop Inc,DistCoop,Regulated,PowerSouth Energy Coop,PowerSouth Energy Coop,Coosa Valley Electric Coop Inc,62,82,0,0,0,Regional Maps; Ventyx Research,03/2004
Covington Electric Coop Inc,DistCoop,Regulated,PowerSouth Energy Coop,PowerSouth Energy Coop,Covington Electric Coop Inc,93,101,0,0,0,Previously Mapped Features; Ventyx Research,na
Diverse Power Inc,DistCoop,Regulated,Southern Co Services Inc,Oglethorpe Power Corp,Diverse Power Inc,126,164,0,0,0,Company Maps; Ventyx Research,Unknown
Gulf Power Co,IOU,Regulated,Southern Co Services Inc,Gulf Power Co,Southern Co,2546,2320,2650.75,2710.55,12895400,Ventyx Research,na
Lawrenceburg Power System,Muni,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Lawrenceburg Power System,100,105,0,0,0,Previously Mapped Features; Ventyx Research,na
Sequachee Valley Electric Coop,DistCoop,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Sequachee Valley Electric Coop,152,204,0,0,0,Regional Maps; Ventyx Research,Unknown
Dixie Electric Coop,DistCoop,Regulated,PowerSouth Energy Coop,PowerSouth Energy Coop,Dixie Electric Coop,116,104,0,0,0,Regional Maps; Ventyx Research,03/2004
Baldwin County Electric Member Coop,DistCoop,Regulated,PowerSouth Energy Coop,PowerSouth Energy Coop,Baldwin County Electric Member Coop,304,310,0,0,0,Regional Maps; Ventyx Research,10/2003
Sumter Electric Member Corp,DistCoop,Regulated,Southern Co Services Inc,Oglethorpe Power Corp,Sumter Electric Member Corp,97,104,0,0,0,Company Maps; Ventyx Research,Unknown
Huntsville AL (City of),Muni,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Huntsville AL (City of),1066,1270,0,0,0,Previously Mapped Features; Ventyx Research,na
Lincoln County Power District No 1,PSubdiv,Regulated,Nevada Power Co,Nevada Power Co,Lincoln County Power District No 1,18,17,0,0,0,Regional Maps; Ventyx Research,na
Pataula Electric Member Corp,DistCoop,Regulated,Southern Co Services Inc,Oglethorpe Power Corp,Pataula Electric Member Corp,29,22,0,0,0,Company Maps; Ventyx Research,Unknown
Pea River Electric Coop,DistCoop,Regulated,PowerSouth Energy Coop,PowerSouth Energy Coop,Pea River Electric Coop,71,94,0,0,0,Regional Maps; Ventyx Research,10/2003
Pulaski TN (City of),Muni,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Pulaski TN (City of),83,100,0,0,0,Previously Mapped Features; Ventyx Research,na
West Florida Electric Coop Association Inc,DistCoop,Regulated,PowerSouth Energy Coop,PowerSouth Energy Coop,West Florida Electric Coop Association Inc,109,140,0,0,0,Regional Maps; Ventyx Research,02/2009
Southern Pioneer Electric Co,DistCoop,,,,Southern Pioneer Coop Inc,0,0,0,0,0,Company Maps,2011
Lake Region Coop Electrical Association,DistCoop,Regulated,Great River Energy,Great River Energy,Lake Region Electric Coop,64,72,0,0,0,Regional Maps; Ventyx Research,Unknown
Southern Pine Electric Coop Inc,DistCoop,Regulated,PowerSouth Energy Coop,PowerSouth Energy Coop,Southern Pine Electric Coop Inc,84,109,0,0,0,Regional Maps; Ventyx Research,10/2003
Three Notch Electric Member Corp,DistCoop,Regulated,Southern Co Services Inc,Oglethorpe Power Corp,Three Notch Electric Member Corp,67,60,38.06,38.06,0,Company Maps; Ventyx Research,Unknown
Kentucky Power Co,IOU,Regulated,American Electric Power,American Electric Power Co Inc,American Electric Power Co Inc,1163,1674,1060,1060,6262160,Regional Digital Data; Ventyx Research,10/2006
Duck River Electric Member Corp,DistCoop,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Duck River Electric Member Corp,348,470,0,0,0,Regional Maps; Ventyx Research,Unknown
Arizona Public Service Co,IOU,Regulated,Arizona Public Service Co,Arizona Public Service Co,Pinnacle West Capital Corp,7218,4086,5382.61,5641.61,27374400,Regional Maps; Ventyx Research,01/2003
Fayetteville Electric System,Muni,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Fayetteville Electric System,97,99,0,0,0,Previously Mapped Features; Ventyx Research,na
Alaska Electric Light & Power Co,IOU,Regulated,Chugach Electric Association Inc,Alaska Energy Authority,Alaska Electric Light & Power Co,57,68,119,119,113198,Ventyx Research,na
4 County Electric Power Association,DistCoop,Regulated,Entergy,4 County Electric Power Association,4 County Electric Power Association,204,233,0,0,0,Regional Maps; Ventyx Research,10/2003
Black Warrior Electric Member Corp,DistCoop,Regulated,Southern Co Services Inc,Alabama Power Co,Black Warrior Electric Member Corp,103,113,0,0,0,Regional Maps; Ventyx Research,10/2003
Clarke Washington EMC,DistCoop,Regulated,PowerSouth Energy Coop,PowerSouth Energy Coop,Clarke Washington EMC,72,77,0,0,0,Regional Maps; Ventyx Research,10/2003
Dixie Electric Power Association,DistCoop,Regulated,Southern Co Services Inc,Mississippi Power Co,Dixie Electric Power Association,182,204,0,0,0,Regional Maps; Ventyx Research,10/2003
Tombigbee Electric Power Association,DistCoop,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Tombigbee Electric Power Association,252,227,0,0,0,Regional Maps; Ventyx Research,10/2003
Baldwin County Electric Member Coop,DistCoop,Regulated,PowerSouth Energy Coop,PowerSouth Energy Coop,Baldwin County Electric Member Coop,304,310,0,0,0,Regional Maps; Ventyx Research,10/2003
East Mississippi Electric Power Association,DistCoop,Regulated,Southern Co Services Inc,Mississippi Power Co,East Mississippi Electric Power Association,54,53,0,0,0,Regional Maps; Ventyx Research,10/2003
Alaska Power Co,Private,Nonregulated,Chugach Electric Association Inc,Alaska Energy Authority,Alaska Power Co,1,1,39.63,39.57,26462,Ventyx Research,na
Monroe County Electric Power Association,DistCoop,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Monroe County Electric Power Association,49,60,0,0,0,Regional Maps; Ventyx Research,10/2003
Pickwick Electric Coop,DistCoop,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Pickwick Electric Coop,89,103,0,0,0,Regional Maps; Ventyx Research,Unknown
Barrow Utilities & Electric Coop Inc,DistCoop,Regulated,Chugach Electric Association Inc,Alaska Energy Authority,Barrow Utilities & Electric Coop Inc,6,8,9.8,10,49087,Regional Maps; Ventyx Research,01/2004
Matanuska Electric Association Inc,DistCoop,Regulated,Chugach Electric Association Inc,Chugach Electric Association Inc,Matanuska Electric Association Inc,100,145,9.41,9.41,4205,Regional Maps; Ventyx Research,01/2004
Metlakatla Power & Light,Muni,Regulated,Chugach Electric Association Inc,Alaska Energy Authority,Metlakatla Power & Light,1,1,8.2,8.2,18356,Regional Maps; Ventyx Research,01/2004
Clinton TN (City of),Muni,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Clinton TN (City of),146,191,0,0,0,Regional Maps; Ventyx Research,na
Singing River Electric Power Association,DistCoop,Regulated,Southern Co Services Inc,Mississippi Power Co,Singing River Electric Power Association,321,385,0,0,0,Regional Maps; Ventyx Research,10/2003
Tennessee Valley Electric Coop,DistCoop,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Electric Coop,91,86,0,0,0,Regional Maps; Ventyx Research,Unknown
Kodiak Electric Association Inc,DistCoop,Regulated,Chugach Electric Association Inc,Alaska Energy Authority,Kodiak Electric Association Inc,23,24,37.5,37.6,125616,Ventyx Research,na
Southwest Louisiana EMC,DistCoop,Regulated,Louisiana Generating LLC,Louisiana Generating LLC,Southwest Louisiana EMC,530,562,0,0,0,Previously Mapped Features; Ventyx Research,na
North Slope Borough,Muni,Regulated,Chugach Electric Association Inc,Alaska Energy Authority,North Slope Borough,1,1,31.66,31.68,33033,Ventyx Research,na
Central Florida Electric Coop Inc,DistCoop,Regulated,Seminole Electric Coop Inc,Seminole Electric Coop Inc,Central Florida Electric Coop Inc,113,153,0,0,0,Regional Maps; Ventyx Research,11/2003
Clay Electric Coop Inc (FL),DistCoop,Regulated,Seminole Electric Coop Inc,Seminole Electric Coop Inc,Clay Electric Coop Inc (FL),731,912,0,0,0,Regional Maps; Ventyx Research,11/2003
Tishomingo County Electric Power Association,DistCoop,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Tishomingo County Electric Power Association,60,66,0,0,0,Regional Maps; Ventyx Research,10/2003
Kokhanok Village Council,PSubdiv,Regulated,Chugach Electric Association Inc,Alaska Energy Authority,Kokhanok Village Council,1,1,0,0,472,Ventyx Research,na
Florida Public Utilities Co,IOU,Regulated,Southern Co Services Inc,Gulf Power Co,Chesapeake Utilities Corp,166,179,0,0,0,Regional Maps; Ventyx Research,Unknown
Tombigbee Electric Coop Inc,DistCoop,Regulated,Southern Co Services Inc,Alabama Power Co,Tombigbee Electric Coop Inc,47,46,0,0,0,Regional Maps; Ventyx Research,10/2003
Larsen Bay Utility Co,Muni,Regulated,Chugach Electric Association Inc,Alaska Energy Authority,Larsen Bay Utility Co,0,0,0.3,0.12,696,Ventyx Research,na
Sheffield Utilities,Muni,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Sheffield Utilities,123,131,0,0,0,Ventyx Research,na
Nelson Lagoon Electric Coop Inc,DistCoop,Regulated,Chugach Electric Association Inc,Alaska Energy Authority,Nelson Lagoon Electric Coop Inc,1,1,0,0,0,Ventyx Research,12/2007
Atka (City of),Muni,Nonregulated,,,Atka (City of),1,1,0,0,477,Ventyx Research,2000
BC Hydro,Federal,,,,BC Hydro,0,0,0,0,0,Ventyx Research,10/2010
Pointe Coupee Electric Member Corp,DistCoop,Regulated,Louisiana Generating LLC,Louisiana Generating LLC,Pointe Coupee Electric Member Corp,52,43,0,0,0,Regional Maps; Ventyx Research,na
Chugach Electric Association Inc,DistCoop,Regulated,Chugach Electric Association Inc,Chugach Electric Association Inc,Chugach Electric Association Inc,327,490,481.22,531.72,2172980,Company Maps; Ventyx Research,12/2003
Copper Valley Electric Association Inc,DistCoop,Regulated,Chugach Electric Association Inc,Alaska Energy Authority,Copper Valley Electric Association Inc,11,13,24.8,24.3,66706,Regional Maps; Ventyx Research,01/2004
Cordova Electric Coop Inc,DistCoop,Regulated,Chugach Electric Association Inc,Alaska Energy Authority,Cordova Electric Coop Inc,6,4,16.3,16.1,25634,Regional Maps; Ventyx Research,01/2004
Ketchikan Public Utilities,Muni,Regulated,Chugach Electric Association Inc,Alaska Energy Authority,Ketchikan Public Utilities,24,30,34.7,33.8,90803,Ventyx Research,na
King Cove AK (City of),Muni,Regulated,Chugach Electric Association Inc,Alaska Energy Authority,King Cove AK (City of),3,4,2.3,1.8,4554,Ventyx Research,2000
Holmes Wayne Electric Coop Inc,DistCoop,Regulated,American Electric Power,Buckeye Power Inc,Holmes Wayne Electric Coop Inc,54,58,0,0,0,Ventyx Research,04/2003
Ouzinkie AK (City of),Muni,Regulated,Chugach Electric Association Inc,Alaska Energy Authority,Ouzinkie AK (City of),1,1,0.87,0.87,763,Ventyx Research,2000
Petersburg Municipal Power & Light,Muni,Regulated,Chugach Electric Association Inc,Alaska Energy Authority,Petersburg Municipal Power & Light,8,10,10.4,10.4,12714,Previously Mapped Features; Ventyx Research,na
Tanana Power Co Inc,Private,Nonregulated,Chugach Electric Association Inc,Alaska Energy Authority,Tanana Power Co Inc,0,0,0,0,0,Ventyx Research,na
Tlingit Haida Region Electric Authority,PSubdiv,Regulated,Chugach Electric Association Inc,Alaska Energy Authority,Tlingit Haida Region Electric Authority,2,2,7.2,7.2,9326,Ventyx Research,na
Unalaska Electric Utility,Muni,Regulated,Chugach Electric Association Inc,Alaska Energy Authority,Unalaska Electric Utility,6,7,6.19,6.19,31062,Ventyx Research,na
Imperial Irrigation District,Muni,Regulated,Imperial Irrigation District,Imperial Irrigation District,Imperial Irrigation District,988,468,721.61,774.08,1144650,Previously Mapped Features; Ventyx Research,na
Sitka (City & (Borough of) ),Muni,Regulated,Chugach Electric Association Inc,Alaska Energy Authority,Sitka (City & (Borough of) ),16,22,37.74,37.74,115752,Ventyx Research,na
Yakutat Power Inc,PSubdiv,Regulated,Chugach Electric Association Inc,Alaska Energy Authority,Yakutat Power Inc,1,1,3.7,3.7,6493,Regional Maps; Ventyx Research,01/2004
Navajo Tribal Utility Authority,State,Regulated,Public Service Co of New Mexico,Navajo Tribal Utility Authority,Navajo Tribal Utility Authority,125,153,0,0,0,Company Maps; Ventyx Research,11/2003
Garkane Energy Coop Inc,DistCoop,Regulated,PacifiCorp,Deseret Power Electric Coop,Garkane Power Association Inc,42,49,7.9,7.9,21315,Regional Maps; Ventyx Research,10/2003
Overton Power District No 5,PSubdiv,Regulated,Nevada Power Co,Nevada Power Co,Overton Power District No 5,98,86,0,0,0,Ventyx Research,12/2007
Escambia River Electric Coop Inc,DistCoop,Regulated,PowerSouth Energy Coop,PowerSouth Energy Coop,Escambia River Electric Coop Inc,42,49,0,0,0,Regional Maps; Ventyx Research,02/2009
Mohave Electric Coop Inc,DistCoop,Regulated,Public Service Co of New Mexico,Public Service Co of New Mexico,Mohave Electric Coop Inc,198,97,0,0,0,Regional Maps; Ventyx Research,01/2003
Sulphur Springs Valley Electric Coop Inc,DistCoop,Regulated,Arizona Electric Power Coop Inc,Arizona Electric Power Coop Inc,Sulphur Springs Valley Electric Coop Inc,201,113,0,0,0,Regional Maps; Ventyx Research,01/2003
Needles CA (City of),Muni,Regulated,Nevada Power Co,Nevada Power Co,Needles CA (City of),17,8,0,0,0,Previously Mapped Features; Ventyx Research,na
Nevada Power Co,IOU,Regulated,Nevada Power Co,Nevada Power Co,NV Energy,5586,3545,4218.58,4403.08,16426100,Company Maps; Ventyx Research,09/2003
Southern California Edison Co,IOU,Regulated,California Independent System Operator,Southern California Edison Co,Edison International,21786,15262,3228.59,3318.53,29192100,Regional Maps; Ventyx Research,04/2010
Florida Keys Electric Coop Association Inc,DistCoop,Regulated,Florida Power & Light,Florida Power & Light Co,Florida Keys Electric Coop Association Inc,132,118,22,22,1,Regional Maps; Ventyx Research,11/2003
UNS Electric Inc,IOU,Regulated,Tucson Electric Power Co,Tucson Electric Power Co,UniSource Energy Corp,444,266,61.1,63.7,18347,Ventyx Research,na
Trico Electric Coop Inc,DistCoop,Regulated,Arizona Electric Power Coop Inc,Arizona Electric Power Coop Inc,Trico Electric Coop Inc,166,87,0,0,0,Regional Maps; Ventyx Research,01/2003
Columbus Electric Coop Inc,DistCoop,Regulated,WAPA Rocky Mountain Region,Tri State G & T Association Inc,Columbus Electric Coop Inc,22,15,0,0,0,Regional Maps; Ventyx Research,Unknown
Tennessee Valley Authority,Federal,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,28711,32572,29399.8,30631.2,141374000,Company Maps; Ventyx Research,na
Southern Indiana Gas & Electric Co,IOU,Regulated,Southern Indiana Gas & Electric Co,Southern Indiana Gas & Electric Co,Vectren Corp,1206,931,1295,1333,4657560,Regional Maps; Ventyx Research,12/2003
USBIA San Carlos Irrigation Project,Federal,Regulated,Arizona Electric Power Coop Inc,Arizona Electric Power Coop Inc,USBIA San Carlos Irrigation Project,78,64,0,0,0,Regional Maps; Ventyx Research,01/2003
Southwest Mississippi E P A,DistCoop,Regulated,South Mississippi Electric Power Association,South Mississippi Electric Power Association,Southwest Mississippi E P A,103,91,0,0,0,Regional Maps; Ventyx Research,10/2003
Navopache Electric Coop Inc,DistCoop,Regulated,Public Service Co of New Mexico,Public Service Co of New Mexico,Navopache Electric Coop Inc,67,87,0,0,0,Company Maps; Ventyx Research,11/2003
New Mac Electric Coop Inc,DistCoop,Regulated,Grand River Dam Authority,KAMO Electric Coop Inc,New Mac Electric Coop Inc,80,82,0,0,0,Regional Maps; Ventyx Research,Unknown
Socorro Electric Coop Inc,DistCoop,Regulated,WAPA Rocky Mountain Region,Tri State G & T Association Inc,Socorro Electric Coop Inc,33,32,0,0,0,Regional Maps; Ventyx Research,Unknown
Darke Rural Electric Coop Inc,DistCoop,Regulated,American Electric Power,Buckeye Power Inc,Darke Rural Electric Coop Inc,19,21,0,0,0,Ventyx Research,04/2003
Southern Indiana Rural Electric Coop Inc,DistCoop,Regulated,Hoosier Energy,Hoosier Energy Rec Inc,Southern Indiana Rural Electric Coop Inc,68,68,0,0,0,Regional Maps; Ventyx Research,Unknown
Northern Neck Electric Coop Inc,DistCoop,Regulated,Virginia Electric & Power Co,Old Dominion Electric Coop Inc,Northern Neck Electric Coop Inc,59,80,0,0,0,Company Maps; Ventyx Research,09/2003
Entergy Louisiana Inc,IOU,Regulated,Entergy,Entergy Services Inc,Entergy Corp,5252,4276,6127,6247,16038900,Regional Maps; Ventyx Research,2005
Arkansas Valley Electric Coop Corp,DistCoop,Regulated,Southwestern Power Administration,Arkansas Electric Coop Corp,Arkansas Valley Electric Coop Corp,289,308,0,0,0,Regional Maps; Ventyx Research,06/1999
Ashley Chicot Electric Coop Inc,DistCoop,Regulated,Southwestern Power Administration,Arkansas Electric Coop Corp,Ashley Chicot Electric Coop Inc,33,17,0,0,0,Regional Maps; Ventyx Research,08/2003
Barry Electric Coop,DistCoop,Regulated,Grand River Dam Authority,KAMO Electric Coop Inc,Barry Electric Coop,45,43,0,0,0,Regional Maps; Ventyx Research,Unknown
Bowie Cass Electric Coop Inc,DistCoop,Regulated,Central & Southwest Services,Northeast Texas Electric Coop Inc,Bowie Cass Electric Coop Inc,154,166,0,0,0,Regional Maps; Ventyx Research,11/2003
C & L Electric Coop Corp,DistCoop,Regulated,Southwestern Power Administration,Arkansas Electric Coop Corp,C & L Electric Coop Corp,91,81,0,0,0,Regional Maps; Ventyx Research,08/2003
Laurens Electric Coop Inc,DistCoop,Regulated,South Carolina Electric & Gas Co,Saluda River Electric Coop Inc,Laurens Electric Coop Inc,254,232,0,0,0,Regional Maps; Ventyx Research,1978
Hickman Fulton Counties RECC,DistCoop,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Hickman Fulton Counties RECC,22,19,0,0,0,Regional Digital Data; Ventyx Research,10/2006
Entergy Mississippi Inc,IOU,Regulated,Entergy,Entergy Services Inc,Entergy Corp,3118,2240,3311.5,3419.5,6429620,Regional Maps; Ventyx Research,10/2003
Choctaw Electric Coop Inc,DistCoop,Regulated,Western Farmers Electric Coop,Western Farmers Electric Coop,Choctaw Electric Coop Inc,93,93,0,0,0,Regional Maps; Ventyx Research,11/2003
Claiborne Electric Coop Inc,DistCoop,Regulated,Southwestern Power Administration,Southwestern Power Administration,Claiborne Electric Coop Inc,122,117,0,0,0,Regional Maps; Ventyx Research,na
Coahoma Electric Power Association,DistCoop,Regulated,South Mississippi Electric Power Association,South Mississippi Electric Power Association,Coahoma Electric Power Association,44,35,0,0,0,Regional Maps; Ventyx Research,10/2003
Northeast Louisiana Power Coop,DistCoop,Regulated,Louisiana Generating LLC,Louisiana Generating LLC,Northeast Louisiana Power Coop,70,62,0,0,0,Regional Maps; Ventyx Research,na
Howell Oregon Electric Coop Inc,DistCoop,Regulated,Associated Electric Coop Inc,Sho ME Power Electric Coop,Howell Oregon Electric Coop Inc,87,97,0,0,0,Regional Maps; Ventyx Research,Unknown
Cookson Hills Electric Coop Inc,DistCoop,Regulated,Grand River Dam Authority,KAMO Electric Coop Inc,Cookson Hills Electric Coop Inc,78,79,0,0,0,Regional Maps; Ventyx Research,11/2003
Memphis Light Gas & Water,Muni,Regulated,Tennessee Valley Authority,Memphis Light Gas & Water,Memphis Light Gas & Water,3266,2123,0,0,0,Previously Mapped Features; Ventyx Research,na
Delta Electric Power Association,DistCoop,Regulated,South Mississippi Electric Power Association,South Mississippi Electric Power Association,Delta Electric Power Association,135,74,0,0,0,Previously Mapped Features; Ventyx Research,na
Entergy Arkansas Inc,IOU,Regulated,Entergy,Entergy Services Inc,Entergy Corp,6200,5566,4828.69,4863.97,24359300,Ventyx Research,na
Entergy Mississippi Inc,IOU,Regulated,Entergy,Entergy Services Inc,Entergy Corp,3118,2240,3311.5,3419.5,6429620,Regional Maps; Ventyx Research,10/2003
Farmers Electric Coop Corp,DistCoop,Regulated,Entergy,Entergy Services Inc,Farmers Electric Coop Corp,23,15,0,0,0,Previously Mapped Features; Ventyx Research,na
First Electric Coop Corp,DistCoop,Regulated,Southwestern Power Administration,Arkansas Electric Coop Corp,First Electric Coop Corp,402,406,0,0,0,Regional Maps; Ventyx Research,08/2003
Mississippi County Electric Coop Inc,DistCoop,Regulated,Southwestern Power Administration,Arkansas Electric Coop Corp,Mississippi County Electric Coop Inc,408,299,0,0,0,Regional Maps; Ventyx Research,08/2003
Pemiscot Dunklin Electric Coop Inc,DistCoop,Regulated,Associated Electric Coop Inc,M & A Electric Power Coop,Pemiscot Dunklin Electric Coop Inc,47,41,0,0,0,Regional Maps; Ventyx Research,Unknown
Interstate Power & Light Co,IOU,Regulated,Alliant Energy East,Alliant Energy East,Alliant Energy Corp,2949,2568,2954.03,3072.33,8855350,Regional Maps; Ventyx Research,12/1997
Maquoketa Valley Rural Electric Coop,DistCoop,Regulated,MidAmerican Energy Co,Central Iowa Power Coop,Maquoketa Valley Rural Electric Coop,56,58,0,0,0,Regional Maps; Ventyx Research,07/1998
Forked Deer Electric Coop Inc,DistCoop,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Forked Deer Electric Coop Inc,46,49,0,0,0,Regional Maps; Ventyx Research,Unknown
Arizona Public Service Co,IOU,Regulated,Arizona Public Service Co,Arizona Public Service Co,Pinnacle West Capital Corp,7218,4086,5382.61,5641.61,27374400,Regional Maps; Ventyx Research,01/2003
White River Valley Electric Coop Inc,DistCoop,Regulated,Associated Electric Coop Inc,Sho ME Power Electric Coop,White River Valley Electric Coop Inc,183,211,0,0,0,Regional Maps; Ventyx Research,Unknown
Woodruff Electric Coop Corp,DistCoop,Regulated,Southwestern Power Administration,Arkansas Electric Coop Corp,Woodruff Electric Coop Corp,110,74,0,0,0,Regional Maps; Ventyx Research,08/2003
Southwest Tennessee EMC,DistCoop,Regulated,Tennessee Valley Authority,Tennessee Valley Authority,Southwest Tennessee EMC,259,212,0,0,0,Regional Maps; Ventyx Research,Unknown
Twin County Electric Power Association,DistCoop,Regulated,South Mississippi Electric Power Association,South Mississippi Electric Power Association,Twin County Electric Power Association,85,50,0,0,0,Regional Maps; Ventyx Research,10/2003
Ameren Missouri,IOU,Regulated,Ameren,Ameren Corp,Ameren Corp,7811,6872,9650,9929,48758600,Ventyx Research,Unknown
South Central Arkansas Electric Coop Inc,DistCoop,Regulated,Southwestern Power Administration,Arkansas Electric Coop Corp,South Central Arkansas Electric Coop Inc,54,48,0,0,0,Regional Maps; Ventyx Research,08/2003
Coos Curry Electric Coop Inc,DistCoop,Regulated,Bonneville Power Administration,Bonneville Power Administration,Coos Curry Electric Coop Inc,35,92,0,0,0,Regional Maps; Ventyx Research,11/2003
Colorado River Indian Irrigation Project,Federal,Regulated,WAPA Desert Southwest Region,WAPA Lower Colorado Region,Colorado River Indian Irrigation Project,24,17,19.5,19.5,77626,Previously Mapped Features; Ventyx Research,na
Northeast Oklahoma Electric Coop Inc,DistCoop,Regulated,Grand River Dam Authority,KAMO Electric Coop Inc,Northeast Oklahoma Electric Coop Inc,162,167,0,0,0,Regional Maps; Ventyx Research,11/2003
Los Angeles Dept of Water & Power,Muni,Regulated,Los Angeles Dept of Water & Power,Los Angeles Dept of Water & Power,Los Angeles Dept of Water & Power,5707,3918,5949.73,6027.73,23657500,Previously Mapped Features; Ventyx Research,na
Mohave Electric Coop Inc,DistCoop,Regulated,Public Service Co of New Mexico,Public Service Co of New Mexico,Mohave Electric Coop Inc,198,97,0,0,0,Regional Maps; Ventyx Research,01/2003
Ozark Border Electric Coop,DistCoop,Regulated,Associated Electric Coop Inc,M & A Electric Power Coop,Ozark Border Electric Coop,152,178,0,0,0,Regional Maps; Ventyx Research,Unknown
Oklahoma Gas & Electric Co,IOU,Regulated,Oklahoma Gas & Electric Co,Oklahoma Gas & Electric Co,OGE Energy Corp,5969,4306,6667.84,6740.46,25008500,Company Maps; Ventyx Research,Unknown
Oncor Electric Delivery,Private,,ERCOT ISO,ERCOT,Energy Future Holdings Corp,0,0,0,0,0,Ventyx Research,2011
Southwestern Electric Power Co,IOU,Regulated,American Electric Power West,American Electric Power West,American Electric Power Co Inc,4750,3909,4802.44,4846.44,18563500,Regional Maps; Ventyx Research,na
Ozarks Electric Coop Corp,DistCoop,Regulated,Southwestern Power Administration,Arkansas Electric Coop Corp,Ozarks Electric Coop Corp,309,277,0,0,0,Regional Maps; Ventyx Research,11/2003
Panola Harrison Electric Coop Inc,DistCoop,Regulated,Central & Southwest Services,Northeast Texas Electric Coop Inc,Panola Harrison Electric Coop Inc,86,87,0,0,0,Regional Maps; Ventyx Research,na
Colton Electric Utility Dept,Muni,Regulated,California Independent System Operator,Southern California Edison Co,Colton Electric Utility Dept,77,49,44.18,44.18,54404,Previously Mapped Features; Ventyx Research,na
Twin County Electric Power Association,DistCoop,Regulated,South Mississippi Electric Power Association,South Mississippi Electric Power Association,Twin County Electric Power Association,85,50,0,0,0,Regional Maps; Ventyx Research,10/2003
Moreno Valley Public Utilities,Muni,Regulated,,,Moreno Valley Public Utilities,24,13,0,0,0,Ventyx Research,04/2010
Nevada Power Co,IOU,Regulated,Nevada Power Co,Nevada Power Co,NV Energy,5586,3545,4218.58,4403.08,16426100,Company Maps; Ventyx Research,09/2003
Pacific Gas & Electric Co,IOU,Regulated,California Independent System Operator,Pacific Gas & Electric Co,PG&E Corp,18410,12553,6882.83,6882.83,28113800,Regional Maps; Ventyx Research,04/2010
Plumas Sierra Rural Electric Coop,DistCoop,Regulated,California Independent System Operator,Northern California Power Agency,Plumas Sierra Rural Electric Coop,29,33,0,0,0,Regional Maps; Ventyx Research,04/2010
Withlacoochee River Electric Coop,DistCoop,Regulated,Seminole Electric Coop Inc,Seminole Electric Coop Inc,Withlacoochee River Electric Coop,884,1198,0,0,0,Regional Maps; Ventyx Research,11/2003
Palo Alto CA (City of),Muni,Regulated,California Independent System Operator,Northern California Power Agency,Palo Alto CA (City of),186,155,0,0,0,Previously Mapped Features; Ventyx Research,na
Surprise Valley Electric Corp,DistCoop,Regulated,Bonneville Power Administration,Bonneville Power Administration,Surprise Valley Electric Corp,36,21,0,0,0,Regional Maps; Ventyx Research,11/2003
San Diego Gas & Electric Co,IOU,Regulated,California Independent System Operator,San Diego Gas & Electric Co,Sempra Energy,4482,3691,656.9,664.9,6449630,Regional Maps; Ventyx Research,Unknown
