Name,Owner Type,Regulation,Control Area,Plan Area,Holding Co.,Summer Peak,Winter Peak,Summer Capacity,Winter Capacity,Net Gen. MW,Source,Source Date
Pond Creek OK (City of),Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Pond Creek OK (City of),2,1,0,0,0,Previously Mapped Features; Ventyx Research,na
Napoleon OH (City of),Muni,Regulated,American Electric Power,American Municipal Power OH,Napoleon OH (City of),30,25,0,0,0,Ventyx Research,04/2003
Newton Falls OH (City of),Muni,Regulated,American Electric Power,American Municipal Power OH,Newton Falls OH (City of),10,8,0,0,0,Ventyx Research,04/2003
Niles OH (City of),Muni,Regulated,FirstEnergy,FirstEnergy Corp,Niles OH (City of),64,49,0,0,0,Ventyx Research,04/2003
Claremore OK (City of),Muni,Regulated,Grand River Dam Authority,Grand River Dam Authority,Claremore OK (City of),77,45,0,0,0,Previously Mapped Features; Ventyx Research,na
Burlington OK (City of),Muni,Regulated,Western Farmers Electric Coop,Western Farmers Electric Coop,Burlington OK (City of),1,6,0,0,0,Previously Mapped Features; Ventyx Research,na
Oak Harbor Light & Water,Muni,Regulated,FirstEnergy,FirstEnergy Corp,Oak Harbor Light & Water,6,4,0,0,0,Ventyx Research,04/2003
Northeast Oklahoma Electric Coop Inc,DistCoop,Regulated,Grand River Dam Authority,KAMO Electric Coop Inc,Northeast Oklahoma Electric Coop Inc,162,167,0,0,0,Regional Maps; Ventyx Research,11/2003
Okeene Public Works Authority,Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Okeene Public Works Authority,6,5,0,0,0,Previously Mapped Features; Ventyx Research,na
Oberlin OH (City of),Muni,Regulated,American Electric Power,American Municipal Power OH,Oberlin OH (City of),21,17,21.95,21.95,40,Ventyx Research,04/2003
Pemberville OH (Village of),Muni,Regulated,American Electric Power,American Municipal Power OH,Pemberville OH (Village of),4,3,0,0,0,Ventyx Research,04/2003
Pioneer Electric Dept,Muni,Regulated,FirstEnergy,FirstEnergy Corp,Pioneer Electric Dept,7,6,0,0,0,Ventyx Research,04/2003
Tontogany OH (Village of),Muni,Regulated,FirstEnergy,FirstEnergy Corp,Tontogany OH (Village of),1,2,0,0,0,Ventyx Research,04/2003
Wellington OH (Village of),Muni,Regulated,American Electric Power,American Municipal Power OH,Wellington OH (Village of),12,12,0,0,0,Ventyx Research,04/2003
Woodville OH (Village of),Muni,Regulated,American Electric Power,American Municipal Power OH,Woodville OH (Village of),3,2,0,0,0,Ventyx Research,04/2003
Collinsville OK (City of),Muni,Regulated,Central & Southwest Services,Public Service Co of Oklahoma,Collinsville OK (City of),12,7,0,0,0,Previously Mapped Features; Ventyx Research,na
Orlando OK (City of),Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Gas & Electric Co,Orlando OK (City of),1,1,0,0,0,Previously Mapped Features; Ventyx Research,na
Pawhuska Electric Production,Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Pawhuska Electric Production,12,5,7,7,193,Previously Mapped Features; Ventyx Research,na
Pawnee OK (City of),Muni,Regulated,Grand River Dam Authority,Grand River Dam Authority,Pawnee OK (City of),6,4,0,0,0,Previously Mapped Features; Ventyx Research,na
Cookson Hills Electric Coop Inc,DistCoop,Regulated,Grand River Dam Authority,KAMO Electric Coop Inc,Cookson Hills Electric Coop Inc,78,79,0,0,0,Regional Maps; Ventyx Research,11/2003
Lindsay Public Works Authority,Muni,Regulated,Grand River Dam Authority,Grand River Dam Authority,Lindsay Public Works Authority,8,5,0,0,0,Previously Mapped Features; Ventyx Research,na
Copan Public Works Authority,Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Copan Public Works Authority,2,1,0,0,0,Previously Mapped Features; Ventyx Research,na
Municipal Utility Board of Pryor,Muni,Regulated,Grand River Dam Authority,Grand River Dam Authority,Municipal Utility Board of Pryor,30,16,0,0,0,Ventyx Research,2000
Lake Region Electric Coop Inc,DistCoop,Regulated,Grand River Dam Authority,KAMO Electric Coop Inc,Lake Region Electric Coop Inc,104,84,0,0,0,Regional Maps; Ventyx Research,11/2003
Blackwell OK (City of),Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Blackwell OK (City of),18,10,0,0,0,Previously Mapped Features; Ventyx Research,na
