Category,Name,Region,Location,Type
LONG RANGE RADAR,JEDBURG LRR (SURVEILLANCE) [QRJ],SOUTHERN,Jedburg-SC,LRR
LONG RANGE RADAR,GETTYSBURG LRR (SURVEILLANCE) [QJB],GREAT LAKES,Gettysburg-SD,LRR
LONG RANGE RADAR,CROSSVILLE LRR (SURVEILLANCE) [QRV],SOUTHERN,Crossville-TN,LRR
LONG RANGE RADAR,JOELTON LRR (SURVEILLANCE) [QOJ],SOUTHERN,Joelton-TN,LRR
LONG RANGE RADAR,SAMBURG LRR (SURVEILLANCE) [QPB],SOUTHERN,Samburg-TN,LRR
LONG RANGE RADAR,AMARILLO LRR (SURVEILLANCE) [AMA],SOUTHWEST,Amarillo-TX,LRR
LONG RANGE RADAR,ANSON LRR (SURVEILLANCE) [QOO],SOUTHWEST,Anson-TX,LRR
LONG RANGE RADAR,EAGLE PEAK-VAN HORN LRR (SURVEILLANCE) [QNW],SOUTHWEST,Van Horn-TX,LRR
LONG RANGE RADAR,EL PASO LRR (SURVEILLANCE) [ELP],SOUTHWEST,El Paso-TX,LRR
LONG RANGE RADAR,HOUSTON-ELLINGTON LRR (SURVEILLANCE) [HOU],SOUTHWEST,Houston-TX,LRR
LONG RANGE RADAR,KELLER-FT WORTH LRR (SURVEILLANCE) [FTW],SOUTHWEST,Keller-TX,LRR
LONG RANGE RADAR,KING MOUNTAIN-MCCAMEY LRR (SURVEILLANCE) [QOM],SOUTHWEST,McCamey-TX,LRR
LONG RANGE RADAR,MORALES-HALLETTSVILLE LRR (SURVEILLANCE) [QNA],SOUTHWEST,Hallettsville-TX,LRR
LONG RANGE RADAR,ODESSA-SEMINOLE LRR (SURVEILLANCE) [QXS],SOUTHWEST,Seminole-TX,LRR
LONG RANGE RADAR,OILTON LRR (SURVEILLANCE) [QZA],SOUTHWEST,Oilton-TX,LRR
LONG RANGE RADAR,ROCKSPRINGS LRR (SURVEILLANCE) [RSG],SOUTHWEST,Rocksprings-TX,LRR
LONG RANGE RADAR,ROGERS LRR (SURVEILLANCE) [QYS],SOUTHWEST,Rogers-TX,LRR
LONG RANGE RADAR,SAN ANTONIO LRR (SURVEILLANCE) [SAT],SOUTHWEST,San Antonio-TX,LRR
LONG RANGE RADAR,CEDAR CITY LRR (SURVEILLANCE) [CDC],NORTHWEST MOUNTAIN,Cedar City-UT,LRR
LONG RANGE RADAR,SALT LAKE CITY-FARMINGTON LRR (SURVEILLANCE) [SLC],NORTHWEST MOUNTAIN,Farmington-UT,LRR
LONG RANGE RADAR,BEDFORD LRR (SURVEILLANCE) [QBE],EASTERN,Bedford-VA,LRR
LONG RANGE RADAR,BINNS HALL-RUTHVILLE LRR (SURVEILLANCE) [QBN],EASTERN,Ruthville-VA,LRR
LONG RANGE RADAR,OCEANA LRR (SURVEILLANCE) [QVR],EASTERN,Oceana-VA,LRR
LONG RANGE RADAR,THE PLAINS LRR (SURVEILLANCE) [QPL],EASTERN,The Plains-VA,LRR
LONG RANGE RADAR,ST ALBANS LRR (SURVEILLANCE) [QHB],NEW ENGLAND,Saint Albans-VT,LRR
LONG RANGE RADAR,MICA PEAK-SPOKANE LRR (SURVEILLANCE) [QMI],NORTHWEST MOUNTAIN,Spokane-WA,LRR
LONG RANGE RADAR,SEATTLE LRR (SURVEILLANCE) [SEA],NORTHWEST MOUNTAIN,Seattle-WA,LRR
LONG RANGE RADAR,EAGLE RIVER LRR (SURVEILLANCE) [EGV],GREAT LAKES,Eagle River-WI,LRR
LONG RANGE RADAR,HORICON LRR (SURVEILLANCE) [QHZ],GREAT LAKES,Horicon-WI,LRR
LONG RANGE RADAR,HIGBY-HARMONY LRR (SURVEILLANCE) [QHY],EASTERN,Harmony-WV,LRR
LONG RANGE RADAR,LOVELL LRR (SURVEILLANCE) [QSI],NORTHWEST MOUNTAIN,Lovell-WY,LRR
LONG RANGE RADAR,LUSK LRR (SURVEILLANCE) [LSK],NORTHWEST MOUNTAIN,Lusk-WY,LRR
LONG RANGE RADAR,ROCK SPRINGS LRR (SURVEILLANCE) [RKS],NORTHWEST MOUNTAIN,Rock Springs-WY,LRR
