"year","month","mei","mei_lag12","npgo","npgo_lag12","pdo","pdo_lag12"
1984,3,0.151,3.008,0.301583083333333,0.502978513333333,1.49333333333333,1.27
1984,4,0.39,2.812,0.75993406,0.0612550066666667,1.5,1.70666666666667
1984,5,0.18,2.498,0.953559626666667,-0.344720186666667,1.53,1.92666666666667
1984,6,-0.049,2.235,0.95969617,-0.513789503,1,2.01
1984,7,-0.054,1.793,0.71165157,-0.289830363,0.433333333333333,2.55666666666667
1984,8,-0.155,1.159,0.507168573333333,-0.0451776336666667,-0.01,2.57333333333333
1984,9,-0.12,0.459,0.53568608,-0.156127114,0.153333333333333,2.09
1984,10,-0.006,0.024,0.711525583333333,-0.302296900666667,0.406666666666667,1.24
1984,11,-0.35,-0.132,0.876282406666667,-0.11195819,0.653333333333333,0.963333333333333
1984,12,-0.585,-0.17,0.686034813333333,-0.201320673333333,0.703333333333333,1.22333333333333
1985,1,-0.546,-0.314,0.479564203333333,-0.1106385,0.933333333333333,1.40333333333333
1985,2,-0.576,-0.509,0.170517743,-0.16404819,1.01,1.46666666666667
1985,3,-0.696,0.151,0.163566743,0.301583083333333,0.926666666666667,1.49333333333333
1985,4,-0.468,0.39,0.162011503,0.75993406,0.566666666666667,1.5
1985,5,-0.706,0.18,0.23567779,0.953559626666667,0.253333333333333,1.53
1985,6,-0.166,-0.049,0.143626072,0.95969617,0.123333333333333,1
1985,7,-0.126,-0.054,0.0966494253333333,0.71165157,0.416666666666667,0.433333333333333
1985,8,-0.365,-0.155,-0.0329928013333333,0.507168573333333,0.686666666666667,-0.01
1985,9,-0.535,-0.12,-0.330176003333333,0.53568608,0.773333333333333,0.153333333333333
1985,10,-0.148,-0.006,-0.784037476666667,0.711525583333333,0.513333333333333,0.406666666666667
1985,11,-0.06,-0.35,-1.30448022333333,0.876282406666667,-0.00666666666666667,0.653333333333333
1985,12,-0.279,-0.585,-1.552621,0.686034813333333,-0.0266666666666667,0.703333333333333
1986,1,-0.293,-0.546,-1.41440083333333,0.479564203333333,0.25,0.933333333333333
1986,2,-0.183,-0.576,-1.29948936666667,0.170517743,1.03666666666667,1.01
1986,3,0.028,-0.696,-0.894671776666667,0.163566743,1.63666666666667,0.926666666666667
1986,4,-0.107,-0.468,-0.960732413333333,0.162011503,1.78,0.566666666666667
1986,5,0.353,-0.706,-0.64380841,0.23567779,1.63,0.253333333333333
1986,6,0.279,-0.166,-0.710347236666667,0.143626072,1.2,0.123333333333333
1986,7,0.401,-0.126,-0.701895943333333,0.0966494253333333,1.14333333333333,0.416666666666667
1986,8,0.765,-0.365,-0.87517878,-0.0329928013333333,0.83,0.686666666666667
1986,9,1.077,-0.535,-0.90929351,-0.330176003333333,0.606666666666667,0.773333333333333
1986,10,0.96,-0.148,-0.693419133333333,-0.784037476666667,0.48,0.513333333333333
1986,11,0.865,-0.06,-0.52108112,-1.30448022333333,0.996666666666667,-0.00666666666666667
1986,12,1.202,-0.279,-0.41707663,-1.552621,1.51333333333333,-0.0266666666666667
1987,1,1.249,-0.293,-0.0902774033333334,-1.41440083333333,1.80666666666667,0.25
1987,2,1.218,-0.183,0.332657383333333,-1.29948936666667,1.8,1.03666666666667
1987,3,1.716,0.028,0.57985682,-0.894671776666667,1.91,1.63666666666667
1987,4,1.855,-0.107,0.50791352,-0.960732413333333,2.00333333333333,1.78
1987,5,2.107,0.353,0.343507176666667,-0.64380841,2.03666666666667,1.63
1987,6,1.958,0.279,0.379837773333333,-0.710347236666667,1.58,1.2
1987,7,1.878,0.401,0.364981473333333,-0.701895943333333,1.53,1.14333333333333
1987,8,1.973,0.765,0.386701816666667,-0.87517878,1.85666666666667,0.83
1987,9,1.851,1.077,0.31197598,-0.90929351,2.42666666666667,0.606666666666667
1987,10,1.617,0.96,0.21032449,-0.693419133333333,2.21,0.48
1987,11,1.257,0.865,0.270996813333333,-0.52108112,1.75666666666667,0.996666666666667
1987,12,1.293,1.202,0.445028343333333,-0.41707663,1.36666666666667,1.51333333333333
1988,1,1.115,1.249,0.773008306666667,-0.0902774033333334,1.22333333333333,1.80666666666667
1988,2,0.716,1.218,0.864785786666667,0.332657383333333,1.14666666666667,1.8
1988,3,0.495,1.716,0.95672783,0.57985682,1.19666666666667,1.91
1988,4,0.389,1.855,1.11283193,0.50791352,1.2,2.00333333333333
1988,5,0.193,2.107,1.44001996,0.343507176666667,1.18666666666667,2.03666666666667
1988,6,-0.582,1.958,1.69820046666667,0.379837773333333,0.96,1.58
1988,7,-1.109,1.878,1.7486593,0.364981473333333,0.86,1.53
1988,8,-1.295,1.973,1.62013856666667,0.386701816666667,0.523333333333333,1.85666666666667
1988,9,-1.526,1.851,1.47798846666667,0.31197598,0.153333333333333,2.42666666666667
1988,10,-1.328,1.617,1.39866,0.21032449,-0.0933333333333333,2.21
1988,11,-1.453,1.257,1.34861133333333,0.270996813333333,-0.163333333333333,1.75666666666667
1988,12,-1.311,1.293,1.16163029,0.445028343333333,-0.183333333333333,1.36666666666667
1989,1,-1.103,1.115,1.10352785666667,0.773008306666667,-0.466666666666667,1.22333333333333
1989,2,-1.241,0.716,0.90987403,0.864785786666667,-0.8,1.14666666666667
1989,3,-1.035,0.495,0.967887396666667,0.95672783,-0.933333333333333,1.19666666666667
1989,4,-0.76,0.389,0.79161412,1.11283193,-0.723333333333333,1.2
1989,5,-0.393,0.193,0.765536273333333,1.44001996,-0.226666666666667,1.18666666666667
1989,6,-0.242,-0.582,0.629792683333333,1.69820046666667,0.17,0.96
1989,7,-0.43,-1.109,0.789875493333333,1.7486593,0.553333333333333,0.86
1989,8,-0.494,-1.295,0.817697393333333,1.62013856666667,0.426666666666667,0.523333333333333
1989,9,-0.315,-1.526,0.861749116666667,1.47798846666667,0.323333333333333,0.153333333333333
1989,10,-0.342,-1.328,0.5876749,1.39866,0.00666666666666667,-0.0933333333333333
1989,11,-0.073,-1.453,0.265145736666667,1.34861133333333,-0.19,-0.163333333333333
1989,12,0.131,-1.311,-0.01046673,1.16163029,-0.276666666666667,-0.183333333333333
1990,1,0.243,-1.103,-0.0681379466666667,1.10352785666667,-0.336666666666667,-0.466666666666667
1990,2,0.573,-1.241,-0.0613260966666667,0.90987403,-0.386666666666667,-0.8
1990,3,0.951,-1.035,0.213771073333333,0.967887396666667,-0.523333333333333,-0.933333333333333
1990,4,0.46,-0.76,0.204701793333333,0.79161412,-0.333333333333333,-0.723333333333333
1990,5,0.652,-0.393,0.266075201666667,0.765536273333333,0.03,-0.226666666666667
1990,6,0.511,-0.242,0.0266921156666667,0.629792683333333,0.383333333333333,0.17
1990,7,0.147,-0.43,-0.139929291,0.789875493333333,0.383333333333333,0.553333333333333
1990,8,0.127,-0.494,-0.218046076,0.817697393333333,0.273333333333333,0.426666666666667
