Management,Type,Acres,District,Name,Organization
National Forest Service,Wilderness Area,2822.08610524000,Red River Ranger District,Nez Perce National Forest,Selway-Bitterroot Wilderness
National Forest Service,Wilderness Area,33235.12874150000,Salmon River Ranger District,Nez Perce National Forest,Gospel-Hump Wilderness
National Forest Service,Wilderness Area,51297.43086560000,Wapiti Ranger District,Shoshone National Forest,Washakie Wilderness
National Forest Service,Wilderness Area,62562.99040500000,Wapiti Ranger District,Shoshone National Forest,North Absaroka Wilderness
National Forest Service,Wilderness Area,1217.41401389000,Mesa Ranger District,Tonto National Forest,Superstition Wilderness
National Forest Service,Wilderness Area,223686.75487899999,Gardiner Ranger District,Gallatin National Forest,Absaroka-Beartooth Wilderness
National Forest Service,National Wildlife Refuge,7.36934601500,,Humboldt-Toiyabe National Forest,RUBY LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,2.02153617455,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,Wild and Scenic River,1903.72999702337,Emigrant Creek Ranger District,Malheur National Forest,
National Forest Service,National Wildlife Refuge,3.75255107011,,Humboldt-Toiyabe National Forest,RUBY LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,1.04984997513,,Humboldt-Toiyabe National Forest,RUBY LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,20.28749897900,,Humboldt-Toiyabe National Forest,RUBY LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,National Recreation Area,6.13793852302,Idaho City Ranger District,Boise National Forest,
National Forest Service,National Recreation Area,1.47220653147,Lowman Ranger District,Boise National Forest,
National Forest Service,National Recreation Area,2.23016857381,Lost River Ranger District,Salmon-Challis National Forest,
National Forest Service,National Recreation Area,29.56157074000,Yankee Fork Ranger District,Salmon-Challis National Forest,
National Forest Service,National Recreation Area,0.82829793316,Fairfield Ranger District,Sawtooth National Forest,
National Forest Service,National Recreation Area,7435.90085803000,Ketchum Ranger District,Sawtooth National Forest,
National Forest Service,Wild and Scenic River,10257.67127109743,Pomeroy Ranger District,Umatilla National Forest,
National Forest Service,National Recreation Area,474015.90443900001,Hells Canyon NRA,Wallowa-Whitman National Forest,
National Forest Service,Historic/Scenic Trail,95480.44610920000,Wisdom Ranger District,Beaverhead-Deerlodge National Forest,
National Forest Service,Historic/Scenic Trail,41.01975870980,North Fork Ranger District,Salmon-Challis National Forest,
National Forest Service,Historic/Scenic Trail,50665.53760780000,Helena Ranger District,Helena National Forest,
National Forest Service,Historic/Scenic Trail,59201.59504040000,Butte Ranger District,Beaverhead-Deerlodge National Forest,
National Forest Service,Historic/Scenic Trail,4.93996991932,Wisdom Ranger District,Beaverhead-Deerlodge National Forest,
National Forest Service,Historic/Scenic Trail,6539.47880336000,Jackson Ranger District,Bridger-Teton National Forest,
National Forest Service,Historic/Scenic Trail,0.41825811801,Leadore Ranger District,Salmon-Challis National Forest,
National Forest Service,Wilderness Area,1976.59506289000,Idaho City Ranger District,Boise National Forest,Sawtooth Wilderness
National Forest Service,Wilderness Area,638.92700574800,Lowman Ranger District,Boise National Forest,Sawtooth Wilderness
National Forest Service,Wilderness Area,57821.86575100000,Lowman Ranger District,Boise National Forest,Selway-Bitterroot Wilderness
National Forest Service,Wilderness Area,37781.77267230000,Ashton/Island Park Ranger District,Caribou-Targhee National Forest,Jedediah Smith Wilderness
National Forest Service,Wilderness Area,81820.77850890000,Teton Basin Ranger District,Caribou-Targhee National Forest,Jedediah Smith Wilderness
National Forest Service,Wilderness Area,2775.14726979000,Safford Ranger District,Coronado National Forest,Galiuro Wilderness
National Forest Service,Wilderness Area,84337.30969190000,Hebgen Lake Ranger District,Gallatin National Forest,Lee Metcalf Wilderness
National Forest Service,Wilderness Area,29559.79647260000,Beartooth Ranger District,Custer National Forest,Absaroka-Beartooth Wilderness
National Forest Service,Wilderness Area,699041.43574900005,Krassell Ranger District,Payette National Forest,Selway-Bitterroot Wilderness
National Forest Service,Wilderness Area,69448.09232060000,Mccall Ranger District,Payette National Forest,Selway-Bitterroot Wilderness
National Forest Service,Wilderness Area,89187.71089200000,North Fork Ranger District,Salmon-Challis National Forest,Selway-Bitterroot Wilderness
National Forest Service,Wilderness Area,258045.29196000000,Salmon-Cobalt Ranger District,Salmon-Challis National Forest,Frank Church-River of No Return Wilderness
National Forest Service,Wilderness Area,6460.20414549000,Salmon-Cobalt Ranger District,Salmon-Challis National Forest,Selway-Bitterroot Wilderness
National Forest Service,Wilderness Area,2064.24113889000,Yankee Fork Ranger District,Salmon-Challis National Forest,Selway-Bitterroot Wilderness
National Forest Service,Historic/Scenic Trail,2141.78745216000,Ogden Ranger District,Wasatch-Cache National Forest,
National Forest Service,Historic/Scenic Trail,148.31108805400,Wisdom Ranger District,Beaverhead-Deerlodge National Forest,
National Forest Service,Historic/Scenic Trail,28061.04277490000,North Fork Ranger District,Salmon-Challis National Forest,
National Forest Service,Historic/Scenic Trail,52141.09503480000,Leadore Ranger District,Salmon-Challis National Forest,
National Forest Service,Historic/Scenic Trail,6408.32983305000,Logan Ranger District,Wasatch-Cache National Forest,
National Forest Service,Historic/Scenic Trail,419.15819109600,Ely Ranger District,Humboldt-Toiyabe National Forest,
National Forest Service,Historic/Scenic Trail,767.46913029300,Salt Lake Ranger District,Wasatch-Cache National Forest,
National Forest Service,Historic/Scenic Trail,1598.51907636000,Powell Ranger District,Dixie National Forest,
National Forest Service,Historic/Scenic Trail,499.74663082900,Lost River Ranger District,Salmon-Challis National Forest,
National Forest Service,Historic/Scenic Trail,13300.93891520000,Minidoka Ranger District,Sawtooth National Forest,
National Forest Service,Historic/Scenic Trail,197.64244344600,Madison Ranger District,Beaverhead-Deerlodge National Forest,
National Forest Service,Historic/Scenic Trail,100.37486745100,Hebgen Lake Ranger District,Gallatin National Forest,
National Forest Service,Historic/Scenic Trail,1746.47570874000,Fillmore Ranger District,Fishlake National Forest,
National Forest Service,National Wildlife Refuge,6.19474957624,,Modoc National Forest,CLEAR LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,Wilderness Area,101523.16587400000,Tule River Ranger District,Sequoia National Forest,Golden Trout Wilderness
National Forest Service,Historic/Scenic Trail,9208.06299031000,Westside Ranger District,Caribou-Targhee National Forest,
National Forest Service,Historic/Scenic Trail,21767.96515170000,Ruby Mountains Ranger District,Humboldt-Toiyabe National Forest,
National Forest Service,Historic/Scenic Trail,249.70040409300,Montpelier Ranger District,Caribou-Targhee National Forest,
National Forest Service,Historic/Scenic Trail,758.99409307900,Dillon Ranger District,Beaverhead-Deerlodge National Forest,
National Forest Service,Historic/Scenic Trail,244.77183422200,Richfield Ranger District,Fishlake National Forest,
National Forest Service,Historic/Scenic Trail,3080.84651687000,Minidoka Ranger District,Sawtooth National Forest,
National Forest Service,Historic/Scenic Trail,1.52425381578,Missoula Ranger District,Lolo National Forest,
National Forest Service,Historic/Scenic Trail,90437.22324740001,Dillon Ranger District,Beaverhead-Deerlodge National Forest,
National Forest Service,Historic/Scenic Trail,26855.13074880000,Pintler Ranger District,Beaverhead-Deerlodge National Forest,
National Forest Service,Historic/Scenic Trail,4.86233036979,Sula Ranger District,Bitterroot National Forest,
National Forest Service,Historic/Scenic Trail,5807.52504320000,Spring Mountains National Recreation Area,Humboldt-Toiyabe National Forest,
National Forest Service,Historic/Scenic Trail,0.11318475202,Dubois Ranger District,Caribou-Targhee National Forest,
National Forest Service,Historic/Scenic Trail,13443.32970730000,Cedar City Ranger District,Dixie National Forest,
National Forest Service,Historic/Scenic Trail,1183.86020527000,Bozeman Ranger District,Gallatin National Forest,
National Forest Service,Historic/Scenic Trail,11434.47934530000,Madison Ranger District,Beaverhead-Deerlodge National Forest,
