Management,Type,Acres,District,Name,Organization
National Forest Service,Wilderness Area,73.99078928110,Bridgeport Ranger District,Humboldt-Toiyabe National Forest,Carson-Iceberg Wilderness
National Forest Service,Wilderness Area,7141.01655144000,Crescent Ranger District,Deschutes National Forest,Mount Thielsen Wilderness
National Forest Service,Wilderness Area,86.61022789790,Hood River Ranger District,Mt. Hood National Forest,Badger Creek Wilderness
National Forest Service,Wilderness Area,194797.59899400000,Mount Whitney Ranger District,Inyo National Forest,Golden Trout Wilderness
National Forest Service,Wilderness Area,14378.42871020000,Carson Ranger District,Humboldt-Toiyabe National Forest,Carson-Iceberg Wilderness
National Forest Service,Wilderness Area,2630.05145826000,Almanor Ranger District,Lassen National Forest,Lassen National Forest
National Forest Service,Wilderness Area,18888.94372200000,Almanor Ranger District,Lassen National Forest,Caribou Wilderness
National Forest Service,Wilderness Area,524.36004684100,Eagle Lake Ranger District,Lassen National Forest,Caribou Wilderness
National Forest Service,Wilderness Area,8054.40373944000,Sweet Home Ranger District,Willamette National Forest,Middle Santiam Wilderness
National Forest Service,Wilderness Area,72997.59792299999,Cle Elum Ranger District,Okanogan-Wenatchee National Forests,Alpine Lakes Wilderness
National Forest Service,Wilderness Area,24903.59808510000,Entiat Ranger District,Okanogan-Wenatchee National Forests,Glacier Peak Wilderness
National Forest Service,Wilderness Area,88507.11782879999,Lake Wenatchee/Leavenworth Ranger District,Okanogan-Wenatchee National Forests,Alpine Lakes Wilderness
National Forest Service,Wilderness Area,27524.19181310000,Lake Wenatchee/Leavenworth Ranger District,Okanogan-Wenatchee National Forests,Henry M. Jackson Wilderness
National Forest Service,Wilderness Area,139.90441676800,Santa Clara/Mojave Rivers Ranger District,Angeles National Forest,Angeles National Forest
National Forest Service,Wilderness Area,35606.30414120000,San Gabriel River Ranger District,Angeles National Forest,San Gabriel Wilderness
National Forest Service,Wild and Scenic River,25530.09996676688,Ojai Ranger District,Los Padres National Forest,
National Forest Service,Wilderness Area,35368.51054730000,Middle Fork Ranger District,Willamette National Forest,Waldo Lake Wilderness
National Forest Service,Wilderness Area,4813.59091389000,Sweet Home Ranger District,Willamette National Forest,Menagerie Wilderness
National Forest Service,Wilderness Area,5847.26662079000,Big Summit Ranger District,Ochoco National Forest,Bridge Creek Wilderness
National Forest Service,Wilderness Area,50252.55978510000,Darrington Ranger District,Mt Baker-Snoqualmie National Forest,Boulder River Wilderness
National Forest Service,Wilderness Area,47.55411737340,North Bend Ranger District,Mt Baker-Snoqualmie National Forest,Glacier View Wilderness
National Forest Service,Wilderness Area,11682.78812220000,Paulina Ranger District,Ochoco National Forest,Black Canyon Wilderness
National Forest Service,Wilderness Area,24749.83517260000,Barlow Ranger District,Mt. Hood National Forest,Badger Creek Wilderness
National Forest Service,Wilderness Area,71109.01812360001,Warner Mountain Ranger District,Modoc National Forest,South Warner Wilderness
National Forest Service,Wilderness Area,6686.71218727000,High Cascades Ranger District,Rogue River-Siskiyou National Forests,Rogue-Umpqua Divide Wilderness
National Forest Service,Wilderness Area,121094.94943700000,Mt Baker Ranger District,Mt Baker-Snoqualmie National Forest,Mount Baker Wilderness
National Forest Service,Wilderness Area,38698.77671670000,Hood River Ranger District,Mt. Hood National Forest,Mark O. Hatfield Wilderness
National Forest Service,Wilderness Area,10.07295335880,Divide Ranger District,Rio Grande National Forest,South San Juan Wilderness
National Forest Service,Wilderness Area,12077.66789390000,West Zone/Rifle Ranger District,White River National Forest,Flat Tops Wilderness
National Forest Service,Wilderness Area,36320.35006180000,West Zone/Aspen Ranger District,White River National Forest,Hunter-Fryingpan Wilderness
National Forest Service,Wilderness Area,96078.61100530000,West Zone/Aspen Ranger District,White River National Forest,Maroon Bells-Snowmass Wilderness
National Forest Service,Wilderness Area,14011.48769900000,Mt Baker Ranger District,Mt Baker-Snoqualmie National Forest,Noisy-Diobsud Wilderness
National Forest Service,Wilderness Area,17132.33011660000,North Bend Ranger District,Mt Baker-Snoqualmie National Forest,Norse Peak Wilderness
National Forest Service,Wilderness Area,220.77707106500,McKenzie River Ranger District,Willamette National Forest,Mount Jefferson Wilderness
National Forest Service,Wilderness Area,0.07417202213,West Zone/Aspen Ranger District,White River National Forest,Mount Massive Wilderness
National Forest Service,Wilderness Area,137232.79332900001,West Zone/Blanco Ranger District,White River National Forest,Flat Tops Wilderness
National Forest Service,Wilderness Area,422.58119472600,Clackamas River Ranger District,Mt. Hood National Forest,Salmon-Huckleberry Wilderness
National Forest Service,Wilderness Area,20095.64877680000,Hood River Ranger District,Mt. Hood National Forest,Mount Hood Wilderness
National Forest Service,Wilderness Area,745.06293945700,Zigzag Ranger District,Mt. Hood National Forest,Mark O. Hatfield Wilderness
National Forest Service,Wilderness Area,17546.53208040000,Big Summit Ranger District,Ochoco National Forest,Mill Creek Wilderness
National Forest Service,Historic/Scenic Trail,63160.88046870000,Divide Ranger District,Rio Grande National Forest,
National Forest Service,Historic/Scenic Trail,80033.49439460000,Pagosa Ranger District,San Juan National Forest,
National Forest Service,Wilderness Area,19404.81461590000,West Zone/Sopris Ranger District,White River National Forest,Holy Cross Wilderness
National Forest Service,Historic/Scenic Trail,35559.60669210000,Columbine Ranger District,San Juan National Forest,
National Forest Service,Wilderness Area,24874.79049770000,Clackamas River Ranger District,Mt. Hood National Forest,Bull of the Woods Wilderness
National Forest Service,Historic/Scenic Trail,0.00056538645,East Zone/Dillon Ranger District,White River National Forest,
National Forest Service,Historic/Scenic Trail,218.46382082600,Brush Creek/Hayden Ranger District,Medicine Bow-Routt National Forest,
National Forest Service,Wilderness Area,410.09539176600,Clackamas River Ranger District,Mt. Hood National Forest,Opal Creek Wilderness
National Forest Service,Historic/Scenic Trail,4.59502407965,Leadville Ranger District,Pike-San Isabel National Forest,
National Forest Service,Wilderness Area,27207.93908610000,Zigzag Ranger District,Mt. Hood National Forest,Mount Hood Wilderness
National Forest Service,Wilderness Area,43616.92950530000,Zigzag Ranger District,Mt. Hood National Forest,Salmon-Huckleberry Wilderness
National Forest Service,Wilderness Area,113789.12495000000,Lake Wenatchee/Leavenworth Ranger District,Okanogan-Wenatchee National Forests,Glacier Peak Wilderness
National Forest Service,Historic/Scenic Trail,0.00033363167,Gunnison Ranger District,"Grand Mesa, Uncompahgre and Gunnison National For*",
National Forest Service,Historic/Scenic Trail,0.19839389358,Salida Ranger District,Pike-San Isabel National Forest,
National Forest Service,Historic/Scenic Trail,0.01360287717,Tres Piedras Ranger District,Carson National Forest,
National Forest Service,Historic/Scenic Trail,4.59502407965,East Zone/Holy Cross Ranger District,White River National Forest,
National Forest Service,Wilderness Area,37344.02698310000,Naches Ranger District,Okanogan-Wenatchee National Forests,Norse Peak Wilderness
National Forest Service,Wilderness Area,35564.97530060000,Tonasket Ranger District,Okanogan-Wenatchee National Forests,Pasayten Wilderness
National Forest Service,Historic/Scenic Trail,4.09255230105,Parks Ranger District,Medicine Bow-Routt National Forest,
National Forest Service,Wilderness Area,1462.89635685000,Mt. Hough Ranger District,Plumas National Forest,Plumas National Forest
National Forest Service,Historic/Scenic Trail,0.01360287717,Conejos Peak Ranger District,Rio Grande National Forest,
National Forest Service,Wilderness Area,1085.88402910000,Parks Ranger District,Medicine Bow-Routt National Forest,Platte River Wilderness
National Forest Service,Wilderness Area,40628.70866240000,Yampa Ranger District,Medicine Bow-Routt National Forest,Flat Tops Wilderness
National Forest Service,Wilderness Area,45401.13719970000,Yampa Ranger District,Medicine Bow-Routt National Forest,Sarvis Creek Wilderness
National Forest Service,Wilderness Area,2013.12702705000,McCloud Ranger District,Shasta Trinity National Forest,Shasta Trinity National Forest
National Forest Service,Wilderness Area,1035.59534551000,North Umpqua Ranger District,Umpqua National Forest,Boulder Creek Wilderness
National Forest Service,Wilderness Area,25019.89203630000,Tiller Ranger District,Umpqua National Forest,Rogue-Umpqua Divide Wilderness
National Forest Service,National Wildlife Refuge,10.74245352230,,Los Padres National Forest,BITTER CREEK NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,795.34806898900,,Los Padres National Forest,BITTER CREEK NATIONAL WILDLIFE REFUGE
National Forest Service,Wilderness Area,13616.60203510000,McCloud Ranger District,Shasta Trinity National Forest,Mt. Shasta Wilderness
National Forest Service,Wilderness Area,8111.17224320000,Sulphur Ranger District,Arapaho and Roosevelt National Forests,Byers Peak Wilderness
National Forest Service,Wilderness Area,39094.46051730000,Sulphur Ranger District,Arapaho and Roosevelt National Forests,Indian Peaks Wilderness
National Forest Service,Wilderness Area,19519.88561070000,Mt. Shasta Ranger District,Shasta Trinity National Forest,Mt. Shasta Wilderness
National Forest Service,Wilderness Area,19040.79353660000,Middle Fork Ranger District,Willamette National Forest,Diamond Peak Wilderness
National Forest Service,Wilderness Area,10894.09690710000,Middle Fork Ranger District,Willamette National Forest,Three Sisters Wilderness
National Forest Service,Wilderness Area,4552.56479506000,Diamond Lake Ranger District,Umpqua National Forest,Rogue-Umpqua Divide Wilderness
National Forest Service,Wilderness Area,17244.83005950000,Diamond Lake Ranger District,Umpqua National Forest,Boulder Creek Wilderness
National Forest Service,National Wildlife Refuge,147.81214936900,,Los Padres National Forest,BITTER CREEK NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,156.35376884800,,Los Padres National Forest,BITTER CREEK NATIONAL WILDLIFE REFUGE
National Forest Service,Wilderness Area,49790.94551880000,Mammoth Ranger District,Inyo National Forest,John Muir Wilderness
National Forest Service,Wilderness Area,28454.42978350000,Mount Whitney Ranger District,Inyo National Forest,South Sierra Wilderness
National Forest Service,Wilderness Area,279.39647921200,Detroit Ranger District,Willamette National Forest,Bull of the Woods Wilderness
National Forest Service,Wilderness Area,877.38929449900,McKenzie River Ranger District,Willamette National Forest,Willamette National Forest
National Forest Service,Wilderness Area,6383.28648210000,White Mountain Ranger District,Inyo National Forest,Inyo National Forest
National Forest Service,Wilderness Area,7331.29485391000,Santa Lucia Ranger District,Los Padres National Forest,Los Padres National Forest
National Forest Service,Wilderness Area,168187.59930999999,Santa Lucia Ranger District,Los Padres National Forest,San Rafael Wilderness
National Forest Service,Wilderness Area,4817.42977498000,San Jacinto Ranger District,San Bernardino National Forest,San Bernardino National Forest
National Forest Service,Wilderness Area,958.22693732800,Kern River Ranger District,Sequoia National Forest,South Sierra Wilderness
National Forest Service,Wilderness Area,1328.23139749000,Tule River Ranger District,Sequoia National Forest,Sequoia National Forest
National Forest Service,Wild and Scenic River,3923.82945821256,Upper Lake Ranger District,Mendocino National Forest,
National Forest Service,Wild and Scenic River,234.48280654573,Feather River Ranger District,Plumas National Forest,
National Forest Service,Historic/Scenic Trail,75476.26111740001,Almanor Ranger District,Lassen National Forest,
National Forest Service,Wilderness Area,93.98442998820,Alpine Ranger District,Apache-Sitgreaves National Forests,Blue Range Wilderness
National Forest Service,Wilderness Area,5730.83043314000,Kern River Ranger District,Sequoia National Forest,Sequoia National Forest
National Forest Service,Wild and Scenic River,7180.73160434691,Barlow Ranger District,Mt. Hood National Forest,
National Forest Service,Wild and Scenic River,6336.89884652178,Hood River Ranger District,Mt. Hood National Forest,
National Forest Service,Wild and Scenic River,10131.50231066411,Paisley Ranger District,Fremont-Winema National Forests,
National Forest Service,Historic/Scenic Trail,47814.41265240000,Leadville Ranger District,Pike-San Isabel National Forest,
National Forest Service,Historic/Scenic Trail,65141.42234290000,Saguache Ranger District,Rio Grande National Forest,
National Forest Service,Historic/Scenic Trail,19214.56303860000,Sulphur Ranger District,Arapaho and Roosevelt National Forests,
National Forest Service,Wild and Scenic River,1728.35568511548,Mt Baker Ranger District,Mt Baker-Snoqualmie National Forest,
National Forest Service,Wild and Scenic River,62.30394398643,Mt Adams Ranger District,Gifford Pinchot National Forest,
National Forest Service,Wilderness Area,76597.46336759999,Canyon Lakes Ranger District,Arapaho and Roosevelt National Forests,Rawah Wilderness
National Forest Service,Wilderness Area,40107.07969430000,Clear Creek Ranger District,Arapaho and Roosevelt National Forests,Mount Evans Wilderness
National Forest Service,Wilderness Area,2329.61824534000,Canjilon Ranger District,Carson National Forest,Chama River Canyon Wilderness
National Forest Service,Wilderness Area,3931.96933781000,Douglas Ranger District,Coronado National Forest,Chiricahua Wilderness
National Forest Service,Wilderness Area,4957.88776821000,Douglas Ranger District,Coronado National Forest,Chiricahua National Monument Wilderness
National Forest Service,Wilderness Area,83278.19763730001,Douglas Ranger District,Coronado National Forest,Chiricahua National Monument Wilderness
National Forest Service,Wilderness Area,2104.67986470000,Black Range Ranger District,Gila National Forest,Aldo Leopold Wilderness
National Forest Service,Wilderness Area,4611.68551014000,Black Range Ranger District,Gila National Forest,Aldo Leopold Wilderness
National Forest Service,Wilderness Area,17529.04316580000,Black Range Ranger District,Gila National Forest,Gila Wilderness
National Forest Service,Wilderness Area,2525.05809530000,Glenwood Ranger District,Gila National Forest,Gila Wilderness
National Forest Service,Wilderness Area,54106.45164760000,Glenwood Ranger District,Gila National Forest,Gila Wilderness
National Forest Service,Wilderness Area,1926.72172870000,Quemado Ranger District,Gila National Forest,Blue Range Wilderness
National Forest Service,Wilderness Area,8141.76833464000,Quemado Ranger District,Gila National Forest,Blue Range Wilderness
National Forest Service,Wilderness Area,25950.28412420000,Quemado Ranger District,Gila National Forest,Blue Range Wilderness
National Forest Service,Wilderness Area,15221.89134090000,Reserve Ranger District,Gila National Forest,Gila Wilderness
National Forest Service,Wilderness Area,1717.34490427000,Silver City Ranger District,Gila National Forest,Gila Wilderness
National Forest Service,Wilderness Area,3664.37459797000,Silver City Ranger District,Gila National Forest,Gila Wilderness
National Forest Service,Wilderness Area,87164.21041050000,Silver City Ranger District,Gila National Forest,Gila Wilderness
National Forest Service,Wilderness Area,39908.69336830000,Gunnison Ranger District,"Grand Mesa, Uncompahgre and Gunnison National For*",Uncompahgre Wilderness
National Forest Service,Wilderness Area,98024.51655040000,Gunnison Ranger District,"Grand Mesa, Uncompahgre and Gunnison National For*",West Elk Wilderness
National Forest Service,Wilderness Area,20649.08725640000,Norwood Ranger District,"Grand Mesa, Uncompahgre and Gunnison National For*",Lizard Head Wilderness
National Forest Service,Wilderness Area,8859.62064743000,Norwood Ranger District,"Grand Mesa, Uncompahgre and Gunnison National For*",Mount Sneffels Wilderness
National Forest Service,Wilderness Area,8068.58438429000,Ouray Ranger District,"Grand Mesa, Uncompahgre and Gunnison National For*",Mount Sneffels Wilderness
National Forest Service,Wilderness Area,71801.22436310000,Hahns Peak-Bears Ears Ranger District,Medicine Bow-Routt National Forest,Mount Zirkel Wilderness
National Forest Service,Wilderness Area,9665.09508153000,Coyote Ranger District,Santa Fe National Forest,Chama River Canyon Wilderness
National Forest Service,Wild and Scenic River,2502.62697687770,Detroit Ranger District,Willamette National Forest,
National Forest Service,Wilderness Area,37404.51111580000,Coyote Ranger District,Santa Fe National Forest,Chama River Canyon Wilderness
National Forest Service,Wilderness Area,2078.47901869000,Jemez Ranger District,Santa Fe National Forest,Dome Wilderness
National Forest Service,Wilderness Area,18007.70229090000,West Zone/Sopris Ranger District,White River National Forest,Raggeds Wilderness
National Forest Service,Wild and Scenic River,6871.12685405369,Questa Ranger District,Carson National Forest,
National Forest Service,Historic/Scenic Trail,26550.05511170000,Canjilon Ranger District,Carson National Forest,
National Forest Service,Historic/Scenic Trail,34976.76304200000,El Rito Ranger District,Carson National Forest,
National Forest Service,Historic/Scenic Trail,63433.79185360000,Black Range Ranger District,Gila National Forest,
National Forest Service,Historic/Scenic Trail,67426.88899120000,Wilderness Ranger District,Gila National Forest,
National Forest Service,Wilderness Area,39696.74946830000,West Zone/Sopris Ranger District,White River National Forest,Hunter-Fryingpan Wilderness
National Forest Service,Wilderness Area,66348.51429080000,West Zone/Sopris Ranger District,White River National Forest,Maroon Bells-Snowmass Wilderness
National Forest Service,National Wildlife Refuge,1.46849372623,,Coronado National Forest,LESLIE CANYON NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,4.71288649348,,Coronado National Forest,LESLIE CANYON NATIONAL WILDLIFE REFUGE
National Forest Service,Historic/Scenic Trail,32333.28835550000,Parks Ranger District,Medicine Bow-Routt National Forest,
National Forest Service,Historic/Scenic Trail,8996.12913640000,East Zone/Holy Cross Ranger District,White River National Forest,
National Forest Service,Wilderness Area,1629.49241820000,Reserve Ranger District,Gila National Forest,Gila Wilderness
National Forest Service,Wilderness Area,8.27119954830,Clifton Ranger District,Apache-Sitgreaves National Forests,Blue Range Wilderness
National Forest Service,Wilderness Area,36504.50484560000,Kern River Ranger District,Sequoia National Forest,Golden Trout Wilderness
National Forest Service,Wild and Scenic River,8966.22658855558,McKenzie River Ranger District,Willamette National Forest,
National Forest Service,Wilderness Area,36323.91940990000,Naches Ranger District,Okanogan-Wenatchee National Forests,Goat Rocks Wilderness
National Forest Service,Historic/Scenic Trail,0.00027500593,Salida Ranger District,Pike-San Isabel National Forest,
National Forest Service,Wilderness Area,74084.04928050000,Canyon Lakes Ranger District,Arapaho and Roosevelt National Forests,Comanche Peak Wilderness
National Forest Service,Wilderness Area,46409.46897590000,Clifton Ranger District,Apache-Sitgreaves National Forests,Blue Range Primitive Area
National Forest Service,Wilderness Area,15.75291683900,Clifton Ranger District,Apache-Sitgreaves National Forests,Blue Range Wilderness
National Forest Service,Wilderness Area,24313.27826120000,Camino Real Ranger District,Carson National Forest,Pecos Wilderness
National Forest Service,Wilderness Area,43555.74895390000,Questa Ranger District,Carson National Forest,Columbine-Hondo Wilderness Study Area
National Forest Service,Wilderness Area,1334.32696642000,Questa Ranger District,Carson National Forest,Wheeler Peak Wilderness
National Forest Service,Wilderness Area,95212.94543290000,Black Range Ranger District,Gila National Forest,Aldo Leopold Wilderness
National Forest Service,Wilderness Area,16027.73781310000,Conejos Peak Ranger District,Rio Grande National Forest,Sangre de Cristo Wilderness
National Forest Service,Wilderness Area,95077.80073410001,Conejos Peak Ranger District,Rio Grande National Forest,South San Juan Wilderness
National Forest Service,Wilderness Area,5797.69558415000,Coyote Ranger District,Santa Fe National Forest,Chama River Canyon Wilderness
National Forest Service,Historic/Scenic Trail,0.00027500593,Leadville Ranger District,Pike-San Isabel National Forest,
National Forest Service,Historic/Scenic Trail,16897.90791730000,Goosenest Ranger District,Klamath National Forest,
National Forest Service,National Recreation Area,120.55474307200,Cuba Ranger District,Santa Fe National Forest,
National Forest Service,Wilderness Area,1147.67319571000,Questa Ranger District,Carson National Forest,Wheeler Peak Wilderness
National Forest Service,Historic/Scenic Trail,65530.23600440000,Tres Piedras Ranger District,Carson National Forest,
National Forest Service,Historic/Scenic Trail,8.28738334317,Conejos Peak Ranger District,Rio Grande National Forest,
National Forest Service,Historic/Scenic Trail,721.79853115300,Pecos-Las Vegas Ranger District,Santa Fe National Forest,
National Forest Service,Historic/Scenic Trail,0.19839389358,Saguache Ranger District,Rio Grande National Forest,
National Forest Service,Wilderness Area,0.77012555471,Sulphur Ranger District,Arapaho and Roosevelt National Forests,James Peak Wilderness
National Forest Service,Wilderness Area,60.09980098940,Boulder Ranger District,Arapaho and Roosevelt National Forests,Byers Peak Wilderness
National Forest Service,Wilderness Area,34275.17567940000,Boulder Ranger District,Arapaho and Roosevelt National Forests,Indian Peaks Wilderness
National Forest Service,Historic/Scenic Trail,30275.56152830000,Mount Taylor Ranger District,Cibola National Forest,
National Forest Service,Historic/Scenic Trail,21209.80702400000,Magdalena Ranger District,Cibola National Forest,
National Forest Service,Historic/Scenic Trail,6384.60529845000,Silver City Ranger District,Gila National Forest,
National Forest Service,Historic/Scenic Trail,6665.85555006000,Jicarilla Ranger District,Carson National Forest,
National Forest Service,Wilderness Area,85330.16520530000,East Zone/Dillon Ranger District,White River National Forest,Eagles Nest Wilderness
National Forest Service,Historic/Scenic Trail,28441.02487770000,Reserve Ranger District,Gila National Forest,
National Forest Service,Historic/Scenic Trail,25893.19439560000,Espanola Ranger District,Santa Fe National Forest,
National Forest Service,Historic/Scenic Trail,0.00056538645,Clear Creek Ranger District,Arapaho and Roosevelt National Forests,
National Forest Service,National Monument,919.67509226248,Kern River Ranger District,Sequoia National Forest,
National Forest Service,National Monument,80511.20025581561,San Jacinto Ranger District,San Bernardino National Forest,
National Forest Service,Historic/Scenic Trail,77688.90585420000,Santa Clara/Mojave Rivers Ranger District,Angeles National Forest,
National Forest Service,Historic/Scenic Trail,14421.29914270000,Questa Ranger District,Carson National Forest,
National Forest Service,Historic/Scenic Trail,27676.47875020000,Camino Real Ranger District,Carson National Forest,
National Forest Service,Historic/Scenic Trail,27449.99563760000,Coyote Ranger District,Santa Fe National Forest,
National Forest Service,Historic/Scenic Trail,11539.57657660000,Gunnison Ranger District,"Grand Mesa, Uncompahgre and Gunnison National For*",
National Forest Service,Historic/Scenic Trail,32521.18039190000,Mancos/Dolores Ranger District,San Juan National Forest,
National Forest Service,Historic/Scenic Trail,55326.88433470000,Salida Ranger District,Pike-San Isabel National Forest,
National Forest Service,Historic/Scenic Trail,41353.94396980000,Conejos Peak Ranger District,Rio Grande National Forest,
National Forest Service,Historic/Scenic Trail,4289.78196675000,West Zone/Sopris Ranger District,White River National Forest,
National Forest Service,Historic/Scenic Trail,0.00033363167,Saguache Ranger District,Rio Grande National Forest,
National Forest Service,Historic/Scenic Trail,14774.38863270000,Boulder Ranger District,Arapaho and Roosevelt National Forests,
National Forest Service,Historic/Scenic Trail,0.00058888568,West Zone/Sopris Ranger District,White River National Forest,
National Forest Service,Wilderness Area,11184.38851260000,Canyon Lakes Ranger District,Arapaho and Roosevelt National Forests,Cache La Poudre Wilderness
National Forest Service,Historic/Scenic Trail,7779.68484717000,Canyon Lakes Ranger District,Arapaho and Roosevelt National Forests,
National Forest Service,Historic/Scenic Trail,22614.34220520000,Clear Creek Ranger District,Arapaho and Roosevelt National Forests,
National Forest Service,Historic/Scenic Trail,35382.03015350000,East Zone/Dillon Ranger District,White River National Forest,
National Forest Service,Historic/Scenic Trail,1.29160976837,Brush Creek/Hayden Ranger District,Medicine Bow-Routt National Forest,
National Forest Service,Historic/Scenic Trail,14022.17905610000,Hahns Peak-Bears Ears Ranger District,Medicine Bow-Routt National Forest,
National Forest Service,Historic/Scenic Trail,0.06578584374,Conejos Peak Ranger District,Rio Grande National Forest,
National Forest Service,Historic/Scenic Trail,0.06578584374,Tres Piedras Ranger District,Carson National Forest,
National Forest Service,Historic/Scenic Trail,0.00058888568,Leadville Ranger District,Pike-San Isabel National Forest,
National Forest Service,Wilderness Area,10517.91086980000,Alpine Ranger District,Apache-Sitgreaves National Forests,Blue Range Primitive Area
National Forest Service,Wilderness Area,119.18674233800,Alpine Ranger District,Apache-Sitgreaves National Forests,Escudilla Wilderness
National Forest Service,Wilderness Area,83.19212760080,Alpine Ranger District,Apache-Sitgreaves National Forests,Blue Range Wilderness
National Forest Service,Wild and Scenic River,5.84333987003,Mt. Pinos Ranger District,Los Padres National Forest,
National Forest Service,Wilderness Area,6402.33037281000,Descanso Ranger District,Cleveland National Forest,Hauser Wilderness
National Forest Service,Wilderness Area,177.58597471300,Alpine Ranger District,Apache-Sitgreaves National Forests,Escudilla Wilderness
National Forest Service,Wilderness Area,5038.60754776000,Alpine Ranger District,Apache-Sitgreaves National Forests,Escudilla Wilderness
National Forest Service,Wilderness Area,16.88089554460,Clifton Ranger District,Apache-Sitgreaves National Forests,Blue Range Wilderness
National Forest Service,Wilderness Area,8883.13279599000,Boulder Ranger District,Arapaho and Roosevelt National Forests,James Peak Wilderness
National Forest Service,Wilderness Area,13258.86861510000,Canyon Lakes Ranger District,Arapaho and Roosevelt National Forests,Neota Wilderness
National Forest Service,Wilderness Area,8126.79683568000,Sandia Ranger District,Cibola National Forest,Sandia Mountain Wilderness
National Forest Service,Wilderness Area,397.86463508900,Glenwood Ranger District,Gila National Forest,Blue Range Wilderness
National Forest Service,Wilderness Area,7004.44073084000,Clear Creek Ranger District,Arapaho and Roosevelt National Forests,James Peak Wilderness
National Forest Service,Wilderness Area,4135.74950343000,Wilderness Ranger District,Gila National Forest,Aldo Leopold Wilderness
National Forest Service,Wilderness Area,6044.10242847000,Wilderness Ranger District,Gila National Forest,Gila Wilderness
National Forest Service,Wilderness Area,264.55218249300,Clear Creek Ranger District,Arapaho and Roosevelt National Forests,Vasquez Peak Wilderness
National Forest Service,Wilderness Area,14026.18211890000,Sulphur Ranger District,Arapaho and Roosevelt National Forests,Never Summer Wilderness
National Forest Service,Wilderness Area,5000.47342156000,Wilderness Ranger District,Gila National Forest,Aldo Leopold Wilderness
National Forest Service,Wilderness Area,102079.20548000000,Wilderness Ranger District,Gila National Forest,Aldo Leopold Wilderness
National Forest Service,Wilderness Area,7069.55637497000,Wilderness Ranger District,Gila National Forest,Gila Wilderness
National Forest Service,Wilderness Area,31442.92527370000,Gunnison Ranger District,"Grand Mesa, Uncompahgre and Gunnison National For*",Fossil Ridge Wilderness
National Forest Service,Wilderness Area,215.00272197800,Sulphur Ranger District,Arapaho and Roosevelt National Forests,Ptarmigan Peak Wilderness
National Forest Service,Wilderness Area,77684.08022960000,Gunnison Ranger District,"Grand Mesa, Uncompahgre and Gunnison National For*",La Garita Wilderness
National Forest Service,Wilderness Area,22842.88517700000,Gunnison Ranger District,"Grand Mesa, Uncompahgre and Gunnison National For*",Maroon Bells-Snowmass Wilderness
National Forest Service,Wilderness Area,14332.74091780000,Gunnison Ranger District,"Grand Mesa, Uncompahgre and Gunnison National For*",Powderhorn Wilderness
National Forest Service,Wilderness Area,12479.88907220000,Sulphur Ranger District,Arapaho and Roosevelt National Forests,Vasquez Peak Wilderness
National Forest Service,Wilderness Area,11671.90039650000,Saguache Ranger District,Rio Grande National Forest,Sangre de Cristo Wilderness
National Forest Service,Wilderness Area,550.50259580200,Cuba Ranger District,Santa Fe National Forest,San Pedro Parks Wilderness
National Forest Service,Wilderness Area,2182.41616410000,Coyote Ranger District,Santa Fe National Forest,San Pedro Parks Wilderness
National Forest Service,Wilderness Area,210.00540884500,Camino Real Ranger District,Carson National Forest,Pecos Wilderness
National Forest Service,Wilderness Area,908.17675572400,Canjilon Ranger District,Carson National Forest,Chama River Canyon Wilderness
National Forest Service,Wilderness Area,14596.71289670000,Leadville Ranger District,Pike-San Isabel National Forest,Buffalo Peaks Wilderness
National Forest Service,Wilderness Area,65096.95224250000,Leadville Ranger District,Pike-San Isabel National Forest,Collegiate Peaks Wilderness
National Forest Service,Wilderness Area,9581.67422644000,Leadville Ranger District,Pike-San Isabel National Forest,Holy Cross Wilderness
National Forest Service,Wilderness Area,390.94526976700,Leadville Ranger District,Pike-San Isabel National Forest,Hunter-Fryingpan Wilderness
National Forest Service,Wilderness Area,737.55034655700,Camino Real Ranger District,Carson National Forest,Pecos Wilderness
National Forest Service,Wilderness Area,359.63864129600,Reserve Ranger District,Gila National Forest,Blue Range Wilderness
National Forest Service,Wilderness Area,23238.10006500000,San Carlos Ranger District,Pike-San Isabel National Forest,Greenhorn Mountain Wilderness
National Forest Service,Wilderness Area,532.71657099300,Canjilon Ranger District,Carson National Forest,Chama River Canyon Wilderness
National Forest Service,Wilderness Area,371757.86533800000,Wilderness Ranger District,Gila National Forest,Gila Wilderness
National Forest Service,Wilderness Area,50474.57936930000,Gunnison Ranger District,"Grand Mesa, Uncompahgre and Gunnison National For*",Collegiate Peaks Wilderness
National Forest Service,Wilderness Area,74288.81164850001,South Platte Ranger District,Pike-San Isabel National Forest,Lost Creek Wilderness
National Forest Service,Wilderness Area,36460.86991960000,South Platte Ranger District,Pike-San Isabel National Forest,Mount Evans Wilderness
National Forest Service,Wilderness Area,2731.66287074000,Cuba Ranger District,Santa Fe National Forest,San Pedro Parks Wilderness
National Forest Service,Wilderness Area,3104.26878765000,Jemez Ranger District,Santa Fe National Forest,Dome Wilderness
National Forest Service,Wilderness Area,4960.22807905000,Pecos-Las Vegas Ranger District,Santa Fe National Forest,Pecos Wilderness
