Latitude,Longitude,State,Region,Area with GCF > 30%,Area with GCF > 35%,Area with GCF > 40%,Area (km^2)
48.620600,-121.804900,Washington,West,0.27,0.06,0,631.666321937
48.504800,-121.452000,Washington,West,0,0,0,2179.29286519
48.970000,-121.986500,Washington,West,1.4,0.9,0.53,425.092424461
48.330100,-121.364400,Washington,West,0,0,0,1717.91208624
48.271700,-121.626700,Washington,West,0.29,0,0,419.805248619
48.212600,-121.888300,Washington,West,21.51,12.1,5.14,419.478258465
48.840500,-119.854700,Washington,West,16.31,6.8,3.06,423.035188711
48.786600,-120.122900,Washington,West,0,0,0,630.308398177
48.731800,-120.390300,Washington,West,0.58,0.11,0.03,2393.37504397
48.663800,-119.773800,Washington,West,6.82,2.78,1.72,421.987218551
48.555800,-120.307100,Washington,West,2.73,1.03,0.79,1051.93913618
48.946000,-119.316100,Washington,West,3.7,1.36,0.18,340.812676066
48.893700,-119.585800,Washington,West,27.17,13.78,2.65,421.130203429
48.768700,-119.237400,Washington,West,1.43,0.11,0,422.655976531
48.591500,-119.159500,Washington,West,28.82,20.03,8.12,421.617404812
48.539800,-119.426900,Washington,West,56.46,31.37,10.18,421.319379566
48.091200,-124.759700,Washington,West,2.54,2.35,0.29,110.483986968
47.546100,-117.588700,Washington,West,98.22,96.09,41.12,415.686677519
47.452300,-118.112400,Washington,West,386.6,386.28,272.85,415.147945155
47.983000,-118.327000,Washington,West,8.84,3.11,0.64,418.196838427
48.124900,-117.530300,Washington,West,109.92,16.99,10.55,419.031592527
48.215600,-116.995900,Idaho,West,19.9,5.34,3.71,419.414350097
48.345300,-116.189700,Idaho,West,1.14,0.05,0.05,420.282686745
48.467500,-115.378100,Montana,Plains,1.57,0.85,0.16,420.944043277
48.827800,-115.498300,Montana,Plains,9.04,8.14,5.32,422.849410135
48.704100,-116.317300,Idaho,West,0,0,0,422.218191548
48.225900,-124.246900,Washington,West,157.71,96.93,30.21,285.352313057
48.158900,-124.503700,Washington,West,190.96,154.87,52.37,419.075711231
49.083900,-122.345400,Washington,West,0,0,0,27.6423163389
48.959800,-122.876600,Washington,West,3.78,0,0,44.3412781268
48.572800,-117.130700,Washington,West,2.78,1.85,0.68,421.384414454
47.273000,-115.820900,Idaho,West,4.55,3.06,0.94,414.121690650
48.481100,-117.669800,Washington,West,1.99,0.69,0.24,420.956037770
41.402400,-71.086500,Massachusetts,Northeast US,5.07,5.07,5.07,10.3614974159
45.990600,-115.670200,Idaho,West,0.67,0.14,0,507.192040667
45.950500,-115.924300,Idaho,West,0.33,0,0,406.445734002
46.126400,-118.140100,Washington,West,249.13,201.2,74.07,407.481334324
46.078700,-118.392400,Washington,West,113.95,3.47,0,407.239219540
45.951500,-118.072100,Oregon,West,34.66,25.29,17.67,506.999512485
46.219600,-117.633900,Washington,West,30.04,29.87,29.73,407.910852541
46.173400,-117.887300,Washington,West,93.33,88.84,85.79,510.560964472
46.353700,-116.870200,Idaho,West,36.63,3.7,0.72,408.702911482
46.309800,-117.125300,Washington,West,2.36,1.17,0.03,408.480557893
46.265100,-117.379900,Washington,West,69.74,53.09,38.15,408.190867829
46.177500,-116.807400,Idaho,West,147.52,62.9,2.55,407.867826986
46.089400,-117.315000,Washington,West,69.45,65.04,4.05,407.201761109
