Facility,Status,Capacity (MW),Location,Owner,Developer,Energy Purchaser,Turbine Mfg.,No. of Turbines,Commercial Online Date,Wind Power Class,Wind Speed Range - 80m,Wind Speed Range - 100m,Offshore Wind Speed Range - 90m
East Ridge Wind Farm,In Service,10,Lincoln County MN,Edison Mission Group owns majority,Edison Mission Group,Xcel Energy,Suzlon Energy Company,8,2006,5,8.5 - 9,8.5 - 9,
East Winds (formerly Altech III),In Service,4.2,San Gorgonio CA,Nichimen America,SeaWest,Southern California Edison Co,NEG Micon,7,1997,4,8 - 8.5,8 - 8.5,
Easton Pond Business Center,In Service,0.1,Middletown RI,,,,Northern Power Systems,1,2009,3,6 - 6.5,6.5 - 7,
Echo 1-7,In Service,44.55,Morrow and Umatilla Counties OR,John Deere Wind,John Deere Wind,PacifiCorp,Vestas,27,2009,2,5.5 - 6,6 - 6.5,
Echo 8-9,In Service,20,Morrow and Umatilla Counties OR,John Deere Wind,John Deere Wind,PacifiCorp,REpower,10,2009,2,5.5 - 6,6 - 6.5,
Eclipse,In Service,200.1,Adair IA,MidAmerican Energy,Clipper Windpower Development Company,MidAmerican Energy,Siemens,87,2012,5,8 - 8.5,8.5 - 9,
Edom Hills (repower),In Service,20,CA,BP Alternative Energy,BP Alternative Energy,Southern California Edison Co,Clipper,8,2008,4,8 - 8.5,8 - 8.5,
Eldora-New Providence Schools,In Service,0.75,Hardin County IA,Eldora - New Providence Schools,Eldora - New Providence Schools,Eldora - New Providence Schools,NEG Micon,1,2002,4,7 - 7.5,7.5 - 8,
Elk,In Service,42.5,Greeley IA,RPM Access Wind Development,RPM Access Wind Development,Central Iowa Power Cooperative,Nordex,17,2011,3,7 - 7.5,7.5 - 8,
Elk City II,In Service,100.8,Roger Mills and Beckham Counties OK,NextEra Energy Resources,NextEra Energy Resources,Public Service Company of Oklahoma,GE Energy,66,2010,4,8 - 8.5,8.5 - 9,
Elk City Wind Energy Center,In Service,98.9,Roger Mills and Beckham Counties OK,NextEra Energy Resources,NextEra Energy Resources,Public Service Company of Oklahoma,Siemens,43,2009,5,8 - 8.5,8 - 8.5,
Elk River Wind Farm,In Service,150,Butler County KS,PPM Energy Inc,PPM Energy Inc,Empire District Electric Co.,GE Energy,100,2005,5,8 - 8.5,8.5 - 9,
Elkhorn Ridge,In Service,81,Knox County north of Bloomfield NE,Edison Mission Group,Midwest Wind Energy,Nebraska Public Power District,Vestas,27,2009,4,8 - 8.5,8.5 - 9,
Elkhorn Valley (07),In Service,97.35,Union County OR,Horizon Wind Energy,Horizon Wind Energy,Idaho Power,Vestas,59,2007,3,6 - 6.5,6.5 - 7,
Elkhorn Valley (08),In Service,3.3,OR,Horizon Wind Energy,Horizon Wind Energy,Idaho Power,Vestas,2,2008,3,6 - 6.5,6.5 - 7,
Elm Creek II,In Service,148.8,Jackson and Martin County MN,Iberdrola Renewables,Iberdrola Renewables,,Mitsubishi,62,2011,4,8 - 8.5,8.5 - 9,
Elm Creek,In Service,99,MN,Iberdrola Renewables,Iberdrola Renewables,Great River Energy,GE Energy,66,2008,4,7.5 - 8,8 - 8.5,
Endeavor (2Q08),In Service,62.5,Osceola and Dickenson Counties IA,NextEra Energy Resources,NextEra Energy Resources,Alliant/IES Utilities,Clipper,25,2008,5,8 - 8.5,8.5 - 9,
Endeavor (3Q07),In Service,25,Osceola and Dickenson Counties IA,NextEra Energy Resources,NextEra Energy Resources,Alliant/IES Utilities,Clipper Windpower,10,2007,5,8 - 8.5,8.5 - 9,
Endeavor (3Q08),In Service,12.5,Osceola and Dickenson Counties IA,NextEra Energy Resources,NextEra Energy Resources,,Clipper,5,2008,5,8 - 8.5,8.5 - 9,
Endeavor II,In Service,50,Osceola and Dickenson Counties IA,NextEra Energy Resources,NextEra Energy Resources,,Clipper,20,2008,5,8 - 8.5,8.5 - 9,
Energy Concepts,In Service,0.1,Hudson WI,,,,Northern Power Systems,1,2009,2,6 - 6.5,6.5 - 7,
Energy Unlimited,In Service,14.5,San Gorgonio CA,,Energy Unlimited,Southern California Edison Co,Bonus; Delta; Micon,148,0,4,8 - 8.5,8 - 8.5,
Energy Unlimited,In Service,10,San Gorgonio CA,Energy Unlimited,Energy Unlimited,Southern California Edison Co,Nordex,10,1999,4,8 - 8.5,8 - 8.5,
Ensign,In Service,98.9,Ensign KS,NextEra Energy Resources,NextEra Energy Resources,KCP&L Greater Missouri Operations,Siemens,43,2012,5,8.5 - 9,9 - 9.5,
Eolos,In Service,2.5,Rosemount MN,University of Minnesota,University of Minnesota,Xcel Energy,Clipper,1,2011,3,6.5 - 7,6.5 - 7,
Equity Industrial Partners,In Service,4,Gloucester MA,Equity Industrial Turbines LLC,Equity Industrial Turbines LLC,City of Gloucester,Gamesa,2,2012,3,6.5 - 7,7 - 7.5,
Eswood School,In Service,0.23,Lindenwood IL,Eswood School,Eswood School,Eswoood School - excess to utilities,Rock-Wind LLC (refurb),1,2012,2,6.5 - 7,7 - 7.5,
Evansville WI (WWTP),In Service,0.1,Evansville WI,Evansville WI (WWTP),,Evansville WI (WWTP),Northern Power Systems,1,2010,2,6.5 - 7,6.5 - 7,
Eve,In Service,2.5,Sublette IL,GSG 7 LLC,GSG 7 LLC,ComEd,Clipper,1,2012,4,7 - 7.5,7 - 7.5,
Ewington Wind Farm,In Service,21,Worthington MN,John Deere Wind Energy,Community,Northern States Power,Suzlon Energy Company,10,2008,4,8 - 8.5,8.5 - 9,
F.E. Warren Air Force Base,In Service,1.32,Near Cheyenne WY,F.E. Warren Air Force Base,F.E. Warren Air Force Base,F.E. Warren Air Force Base,Vestas,2,2005,4,7.5 - 8,8 - 8.5,
Fairhaven Wind,In Service,3,Fairhaven MA,Solaya Energy / Palmer Capital / CTI Energy,Solaya Energy,Town of Fairhaven,Sinovel,2,2012,2,6.5 - 7,6.5 - 7,
Falmouth Wastewater,In Service,1.65,Falmouth MA,Falmouth Wastewater,Falmouth Wastewater,Falmouth Wastewater,Vestas,1,2010,3,6.5 - 7,7 - 7.5,
Falmouth Wind 2,In Service,1.65,East Falmouth MA,Town of Falmouth,Lumus,Net-metered,Vestas,1,2012,3,6 - 6.5,6.5 - 7,
Farmer's Cooperatives,In Service,5.7,Jackson County MN,,DanMar & Associates,Xcel/ Great River Energy,Vestas,6,2004,4,8 - 8.5,8.5 - 9,
Farmers City,In Service,146,Atchison County MO,Iberdrola Renewables,Iberdrola Renewables,,Gamesa,73,2010,3,7 - 7.5,7.5 - 8,
Federated,In Service,2.1,MN,Federated,Federated,,Suzlon Energy Company,1,2008,2,6 - 6.5,6 - 6.5,
Fenner,In Service,1.5,Cazenovia NY,Enel Green Power North America,Enel Green Power North America,NYSERDA,Goldwind,1,2012,3,6.5 - 7,7 - 7.5,
Fenner Wind Power Project,In Service,30,Fenner NY,Enel North America,Atlantic Renewable Energy,Market,GE Energy,20,2001,4,6.5 - 7,7 - 7.5,
Fenton Wind Power Project,In Service,205.5,Murray and Nobles Counties near Chandler MN,EnXco,EnXco,Xcel Energy,GE Energy,137,2007,5,8 - 8.5,8.5 - 9,
Flat Ridge 2,In Service,419.2,Nashville KS,BP Wind Energy / Sempra Energy,BP Wind Energy,Associated Electric Cooperative Inc / Southwestern Electric Power,GE Energy,262,2012,4,7.5 - 8,8 - 8.5,
Flat Ridge 2 Expansion,In Service,51.2,Sharon KS,BP Wind Energy,BP Wind Energy,Arkansas Electric Cooperative Corp,GE Energy,32,2012,3,8 - 8.5,8 - 8.5,
Flat Ridge Wind Farm,In Service,100,Barber County KS,BP Wind Energy North America/Weststar Energy,BP Wind Energy North America,Weststar Energy,Clipper,40,2009,4,8 - 8.5,8 - 8.5,
Flat Water Wind Farm,In Service,60,Richardson County NE,Gestamp Wind North America,Flat Water Wind Farm,Omaha Public Power District,GE Energy,40,2011,1,7.5 - 8,8 - 8.5,
Flying Cloud,In Service,43.5,West of Spirit Lake IA,PPM Energy Inc,Clipper Windpower,Alliant/IES Utilities,GE Energy,29,2003,5,8 - 8.5,8.5 - 9,
Foote Creek Rim I,In Service,41.4,Carbon County WY,PacifiCorp/Eugene Water & Electric Board,SeaWest/Tomen,PacifiCorp/Eugene Water & Electric Board,Mitsubishi,69,1999,7,9.5 - 10,10 - 13.63,
Foote Creek Rim II,In Service,1.8,Carbon County WY,Caithness,SeaWest,Bonneville Power Admin,Mitsubishi,3,1999,7,10 - 13.63,10 - 13.63,
Foote Creek Rim III,In Service,24.75,Carbon County WY,Caithness,SeaWestM&N Wind Power,Xcel Energy,NEG Micon,33,1999,7,10 - 13.63,10 - 13.63,
Foote Creek Rim IV,In Service,16.8,Carbon County WY,Caithness,SeaWest,Bonneville Power Admin,Mitsubishi,28,2000,7,10 - 13.63,10 - 13.63,
Forbes Park,In Service,0.6,Chelsea MA,Forbes Park,Boreal Renewable Energy,Forbes Park,,1,2008,2,5.5 - 6,6 - 6.5,
Forest City High School,In Service,0.6,Forest City IA,Forest City High School,Forest City High School,Forest City Community School District,Nordex,1,1999,4,7 - 7.5,7.5 - 8,
Forest Creek Wind Farm,In Service,124.2,Glasscock and Sterling Counties TX,E.On Climate & Renewables,E.On Climate & Renewables/RGI,Luminant,Siemens,54,2006,3,8 - 8.5,8 - 8.5,
Fort Totten,In Service,0.1,Fort Totten ND,Spirit Lake Sioux,,Spirit Lake Sioux,NEG Micon,1,1997,4,7.5 - 8,7.5 - 8,
Forward Expansion,In Service,30,Dodge and Fond du Lac Counties WI,Invenergy,Invenergy,Alliant- Wisconsin Public Service-Madison Gas & Electric- Wisconsin Public Power,GE Energy,20,2008,3,7 - 7.5,7.5 - 8,
Forward Fontanelle,In Service,1.6,Fontanelle IA,Forward Fontanelle Power LLC (community owned),,City of Fontanelle - excess to Central Iowa Power Coopeative,GE Energy,1,2012,3,7.5 - 8,8 - 8.5,
Forward Phase I,In Service,99,Dodge and Fond du Lac Counties WI,Invenergy,Invenergy,Alliant- Wisconsin Public Service- Madison Gas & Electric-Wisconsin Public Power,GE Energy,66,2008,3,7 - 7.5,7 - 7.5,
Forward,In Service,29.4,Shade Township Park PA,Edison Mission Group,Edison Mission Group,N/a,Suzlon Energy Company,14,2008,2,5 - 5.5,5.5 - 6,
Fossil Gulch Wind Park,In Service,10.5,Northwest of Hagerman ID,Exergy Development Group/United Materials,Exergy Development Group/United Materials,Idaho Power,GE Energy,7,2005,3,6 - 6.5,6.5 - 7,
Fowler Ridge II,In Service,199.5,Benton County IN,BP Alternative Energy,BP Alternative Energy,AEP/Vectron Energy,GE Energy,133,2009,3,7.5 - 8,7.5 - 8,
Fowler Ridge Wind Farm Phase I (Clipper),In Service,100,Benton and Tippecanoe Counties IN,BP Alternative Energy/Dominion Energy,BP Alternative Energy/Dominion Energy,AEP-Appalachian Power/AEP-Indiana Michigan Power,Clipper,40,2009,3,7.5 - 8,7.5 - 8,
Ironwood I,In Service,167.9,Wright KS,Duke Energy Carolinas LLC,Infinity Wind Power / Westar,Westar Energy,Siemens,73,2012,5,8.5 - 9,9 - 9.5,
Fowler Ridge Wind Farm Phase I (Vestas),In Service,300.3,Benton and Tippecanoe Counties IN,BP Alternative Energy/Dominion Energy,BP Alternative Energy/Dominion Energy,AEP-Appalachian Power/AEP-Indiana Michigan Power,Vestas,182,2009,3,7.5 - 8,7.5 - 8,
Fox Islands Wind Project,In Service,4.5,Vinalhaven Island ME,Fox Islands Electric Cooperative,Fox Islands Electric Cooperative,Fox Islands Electric Cooperative,GE Energy,1,2009,2,7 - 7.5,7.5 - 8,
Franklin County Wind,In Service,99,Franklin County IA,Franklin County Wind LLC,Franklin County Wind LLC,Merchant (MISO),Vestas,60,2012,4,7.5 - 8,8 - 8.5,
Frey Farm,In Service,3.2,Conestoga PA,PPL Renewable Energy,PPL Renewable Energy LLC / Lancaster County Solid Waste Management Authority,Turkey Hill Dairy,GE Energy,2,2011,2,4.5 - 5,5 - 5.5,
Frisco,In Service,20,Guymon OK,DeWind,DeWind,,DeWind,10,2012,4,8.5 - 9,8.5 - 9,
G. McNeilus Wind Farm,In Service,13.5,Adams MN,,G. McNeilus,Dairyland Power Cooperative/others,,9,2003,3,7.5 - 8,8 - 8.5,
G.M. Allen & Sons,In Service,0.05,Orland ME,Endless Energy,Endless Energy,G.M. Allen & Sons farm,Atlantic Orient Co.,1,2001,2,5.5 - 6,6 - 6.5,
G3 Wind Farm,In Service,0.22,Southeast of Boise ID,G3,Bob Lewandowski,,,3,2003,2,6 - 6.5,6.5 - 7,
GL Wind,In Service,4.95,Lewiston MN,GL Wind,Juhl Wind,Xcel Energy,Clipper,2,2011,3,6.5 - 7,7 - 7.5,
GSG Wind Farm,In Service,80,Lee and LaSalle Counties IL,Babcock & Brown,FPC Services,,Gamesa,40,2007,3,7 - 7.5,7.5 - 8,
GWE LLC,In Service,4,,Goodwind Energy Inc,Goodwind Energy Inc,Central Iowa Power Cooperative,HZ Windpower,2,2012,4,7 - 7.5,7 - 7.5,
Gaines Cavern Wind Project,In Service,2,Gaines County TX,General Compression,Texas Dispatchable Wind 1 LLC,,Gamesa,1,2012,1,7 - 7.5,7.5 - 8,
Galactic Wind,In Service,9.9,Waunakee WI,Epic Systems,Epic Systems,Epic Systems,Vestas,6,2012,2,6 - 6.5,6.5 - 7,
Garnet Wind,In Service,6.5,Palm Springs CA,Azusa Light & Water,Azusa Light & Water,Azusa Light & Water,,13,2009,7,8 - 8.5,8 - 8.5,
Gary Wind Energy Project,In Service,0.09,Gary SD,Energy Maintenance Services-Distributed Energy Services,Energy Maintenance Services-Distributed Energy Services,Energy Maintenance Services-Distributed Energy Services,Vestas,1,2002,4,8.5 - 9,8.5 - 9,
Georgia Mountain,In Service,10,Milton VT,All Earth Renewables,All Earth Renewables,Green Mountain Power,Goldwind,4,2012,3,5 - 5.5,5.5 - 6,
Glacier Hills,In Service,162,Between Portage and Randolph above Highway 33 WI,We Energies,We Energies,We Energies,Vestas,90,2011,2,6.5 - 7,7 - 7.5,
Glacier I,In Service,106.5,Near Ethridge MT,NaturEner,NaturEner,,Acciona,71,2008,5,7 - 7.5,7.5 - 8,
Glacier II,In Service,103.5,Near Ethridge MT,NaturEner,NaturEner,San Diego Gas & Electric,Acciona,69,2009,5,7 - 7.5,7.5 - 8,
Glenrock III,In Service,39,Converse WY,EnXco,PacifiCorp,EnXco,GE Energy,26,2009,4,8 - 8.5,8.5 - 9,
Glenrock,In Service,99,East of Casper WY,PacifiCorp,PacifiCorp,PacifiCorp,GE Energy,66,2008,4,8 - 8.5,8.5 - 9,
Goat Mountain Phase I,In Service,80,North of San Angelo TX,Cielo/Edison Mission Group,Cielo/Edison Mission Group,Market,Mitsubishi,80,2008,4,8 - 8.5,8 - 8.5,
Goat Mountain Phase II,In Service,69.6,North of San Angelo TX,Cielo/Edison Mission Group,Cielo/Edison Mission Group,Market,Mitsubishi,29,2009,4,8 - 8.5,8 - 8.5,
Gob Nob,In Service,0.9,Montgomery County IL,Rural Electric Convenience Cooperative Project,Rural Electric Convenience Cooperative Project,,Emergya Wind Technologies,1,2009,2,6.5 - 7,7 - 7.5,
Golden Hills Wind Farm,Proposed,400,Near Wasco in Sherman County OR,BP Alternative Energy,BP Alternative Energy,,Undetermined,267,0,3,6.5 - 7,6.5 - 7,
Golden Spread Panhandle Wind Ranch,In Service,78.2,Wildarado TX,Golden Spread Electric Cooperative,Cielo,Golden Spread Electric Cooperative,Siemens,34,2011,4,8.5 - 9,9 - 9.5,
Golden Valley Wind Park,In Service,12,Cassia County ID,Exergy,Exergy,Idaho Power,GE Energy,8,2011,3,5.5 - 6,5.5 - 6,
Goodland I,In Service,130.5,Benton County near Earl Park IN,,Orion Energy Group,Duke Energy Carolinas LLC,GE Energy,87,2008,3,7.5 - 8,7.5 - 8,
Goodnoe Hills,In Service,94,Goldendale,EnXco/Power Holdings,EnXco/Power Holdings,PacifiCorp,REpower,47,2008,3,5.5 - 6,5.5 - 6,
Gordon Butte,In Service,9,Martinsdale MT,Gordon Butte Wind LLC,Oversight Resources LLC,Northwestern Energy,GE Energy,6,2012,7,7.5 - 8,7.5 - 8,
Goshen North Wind Project,In Service,124.5,Bonneville County ID,BP Wind Energy/Ridgeline Energy,BP Wind Energy/Ridgeline Energy,Southern California Edison Co,GE Energy,83,2010,2,6 - 6.5,6 - 6.5,
Grafton Technical College,In Service,0.07,Grafton ND,Grafton Technical College,Grafton Technical College,Grafton Technical College,,1,1997,3,7 - 7.5,7.5 - 8,
Grand Meadow,In Service,100.5,Dexter MN,EnXco,EnXco,Xcel Energy,GE Energy,67,2008,4,8 - 8.5,8.5 - 9,
Grand Ridge II,In Service,51,La Salle County IL,Invenergy,Invenergy,AEP-Appalachian Power,GE Energy,34,2009,2,7 - 7.5,7 - 7.5,
Grand Ridge III,In Service,60,La Salle County IL,Invenergy,Invenergy,AEP-Appalachian Power,GE Energy,40,2009,2,7 - 7.5,7 - 7.5,
Grand Ridge Wind Farm,In Service,99,La Salle County IL,Invenergy,Invenergy,,GE Energy,66,2008,2,7 - 7.5,7.5 - 8,
Granite Reliable Power,In Service,99,Milan NH,Brookfield Renewable Energy Group,Brookfield Renewable Energy Group,Green Mountain Power / Central Vermont Public Service / New England Power Pool,Vestas,33,2012,4,5.5 - 6,5.5 - 6,
Grant County Wind Farm,In Service,20,5 miles west of Hoffman and 6 miles south of Barrett MN,Olympus Power,Suzlon and Juhl Wind,,Suzlon Energy Company,10,2010,3,7 - 7.5,7.5 - 8,
Gratiot,In Service,102.4,Breckenridge MI,Detroit Edison,Invenergy,Detroit Edison,GE Energy,64,2011,3,6.5 - 7,6.5 - 7,
Gratiot County,In Service,110.4,Breckenridge MI,Ivenergy,Ivenergy,Detroit Edison,GE Energy,69,2012,3,6.5 - 7,6.5 - 7,
Gray County Wind Farm,In Service,112.2,Gray County KS,NextEra Energy Resources,NextEra Energy Resources,Aquila,Vestas,170,2001,5,8.5 - 9,9 - 9.5,
Great Lakes Science Center,In Service,0.23,Cleveland OH,Great Lakes Science Center,Great Lakes Science Center,Great Lakes Science Center,Vestas,1,2006,3,6 - 6.5,6 - 6.5,
Great Plains,In Service,114,Hansford County TX,Noble Environmental,Noble Environmental,,GE Energy,76,2009,4,8.5 - 9,9 - 9.5,
AMP-Ohio/Green Mountain Energy Wind Farm,In Service,3.6,Bowling Green OH,Bowling Green,AMP Ohio,Bowling Green,Vestas,2,2003,2,6 - 6.5,6.5 - 7,
AMP-Ohio/Green Mountain Energy Wind Farm,In Service,3.6,Bowling Green OH,Ohio Municipal Electric Generation Agency Joint Venture 6,AMP Ohio,Ohio Municipal Electric Generation Agency Joint Venture 6,Vestas,2,2004,2,6 - 6.5,6.5 - 7,
Green Mountain Wind Farm,In Service,10.4,Somerset County PA,NextEra Energy Resources,National Wind Power,Green Mountain Energy Company,Nordex,8,2000,2,5 - 5.5,5 - 5.5,
Green Power,In Service,16.5,San Gorgonio CA,NextEra Energy Resources,GE Energy,Southern California Edison Co,Zond,22,1999,4,8 - 8.5,8 - 8.5,
McNeilus,In Service,9,Mower County MN,McNeilus,McNeilus,Xcel Energy,NEG Micon,10,2002,4,8 - 8.5,8 - 8.5,
Green Ridge Power,In Service,147.6,Altamont Pass CA,NextEra Energy Resources,Kenetech,Pacific Gas & Electric Co,Kenetech,1476,0,4,6.5 - 7,6.5 - 7,
Green Ridge Power,In Service,12.3,Altamont Pass CA,NextEra Energy Resources,Kenetech,Pacific Gas & Electric Co,Kenetech,41,0,4,6.5 - 7,6.5 - 7,
Greenfield Wind,In Service,1.6,Greenfield IA,Greenfield Wind Power LLC (community owned),,City of Greenfield - excess to Central Iowa Power Cooperative,GE Energy,1,2012,4,7.5 - 8,8 - 8.5,
Greensburg Wind Farm,In Service,12.5,Southwest of Greensburg KS,John Deere Wind,John Deere Wind,,Suzlon Energy Company,10,2010,5,8.5 - 9,9 - 9.5,
Groton,In Service,48,Hebron NH,Iberdrola Renewables,Iberdrola Renewables,NSTAR,Gamesa,24,2012,3,5.5 - 6,6 - 6.5,
Gulf Wind,In Service,283.2,South of Sarita TX,Pattern Energy,Babcock & Brown,Pattern Energy,Mitsubishi,118,2009,2,7.5 - 8,7.5 - 8,
Hackberry Wind Project,In Service,165.6,Shackelford County TX,RES Americas,RES Americas,Austin Energy,Siemens,72,2008,4,8 - 8.5,8.5 - 9,
Half Hollow Nursery,In Service,0.1,Laurel NY,Half Hollow Nursery,,Half Hollow Nursery,Northern Power Systems,1,2010,2,6 - 6.5,6.5 - 7,
Hancock County Wind Farm,In Service,97.68,Hancock County IA,NextEra Energy Resources,NextEra Energy Resources,Alliant Energy (44 MW); rest purchased by Corn Belt Cooperative and Cedar Falls,Vestas,148,2002,4,7.5 - 8,8 - 8.5,
Happy Jack,In Service,29.4,Near Cheyenne WY,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,Cheyenne Light Fuel & Power,Suzlon Energy Company,14,2008,5,8.5 - 9,8.5 - 9,
Harbec Plastic Wind Turbine,In Service,0.25,Rochester NY,Harbeck Plastic,Lorax Energy Systems,Harbeck Plastic,Fuhrlander,1,2002,3,6 - 6.5,6.5 - 7,
Harbec Plastics,In Service,0.85,Ontario NY,Northern Developments LLC,Harvest the Wind,,Gamesa,1,2012,3,6 - 6.5,6.5 - 7,
Harbor Wind,In Service,9,Corpus Christi TX,Harbor Wind LLC,Revolution Energy,,Guodian,6,2012,3,6.5 - 7,7 - 7.5,
Hardin-Hilltop Wind Project,In Service,14.7,Greene County IA,Community wind,Community wind,Alliant,Suzlon Energy Company,7,2007,4,7.5 - 8,7.5 - 8,
Hardscrabble Wind Power Project,In Service,74,Fairfield and Norway north of Little Falls NY,,Atlantic Wind,,Gamesa,37,2010,2,5.5 - 6,5.5 - 6,
Hartland Wind Farm,Proposed,500,Ward ND,,Denali Energy Inc./Montgomery Energy Partners LP,,,333,0,4,7.5 - 8,8 - 8.5,
Harvest II,In Service,59.4,Pigeon MI,Exelon Wind,Exelon Wind,Consumers Energy,Vestas,33,2012,4,7 - 7.5,7 - 7.5,
Harvest Wind Farm,In Service,98.9,Northwest of Roosevelt,Cowlitz PUD; Lakeview Light and Power; Peninsula Light; Eugene Water and Electri,Cowlitz PUD; Lakeview Light and Power; Peninsula Light; Eugene Water and Electri,Cowlitz PUD; Lakeview Light and Power; Peninsula Light; Eugene Water and Electri,Siemens,43,2009,4,6 - 6.5,6.5 - 7,
Harvest Wind Farm,In Service,52.8,Oliver and Chandler Townships MI,John Deere Wind Energy,John Deere Wind Energy,Wolverine Power Cooperative,Vestas,32,2008,3,6.5 - 7,7 - 7.5,
Hasselbach Meats,In Service,0.1,Fremont OH,Hasselbach Meats,,Hasselbach Meats,Northern Power Systems,1,2010,3,6 - 6.5,6.5 - 7,
Hatchet Ridge Wind Farm,In Service,101.2,West of Burney CA,,RES Americas/Pattern Energy,Pacific Gas & Electric Co,Siemens,44,2010,1,0 - 4,0 - 4,
Hawkeye,In Service,37.5,Rippey IA,RPM Access Wind Development,RPM Access Wind Development,Central Iowa Power Cooperative,Nordex,15,2012,3,7.5 - 8,7.5 - 8,
Hay Canyon Wind Farm,In Service,100.8,Near Moro OR,Iberdrola Renewables,Iberdrola Renewables,Snohomish Public Utility District,Suzlon Energy Company,48,2009,3,6 - 6.5,6 - 6.5,
McNeilus,In Service,9,Mower County MN,G. McNeilus,G. McNeilus,Dairyland Power /Alliant,NEG Micon,6,2003,4,8 - 8.5,8 - 8.5,
Heartland Community College,In Service,1.65,Normal IL,Heartland Community College,Harvest the Wind,Heartland Community College,Vestas,1,2012,4,6.5 - 7,7 - 7.5,
Heritage Flight,In Service,0.1,South Burlington VT,,,,Northern Power Systems,1,2009,2,5.5 - 6,5.5 - 6,
Heritage Garden,In Service,28,Garden MI,Heritage Sustainable Energy,Heritage Sustainable Energy,Consumers Energy / Detroit Edison,Gamesa,16,2012,2,6 - 6.5,6.5 - 7,
High Lonesome,In Service,100,South of Willard NM,Edison Mission Group,Edison Mission Group,,Clipper,40,0,3,7 - 7.5,7 - 7.5,
High Mesa,In Service,39.9,Bliss ID,Exelon Wind,Exelon Wind,Idaho Power,Suzlon Energy Company,19,2012,3,6 - 6.5,6.5 - 7,
High Plains Tech Center,In Service,0.1,Woodward OK,High Plains Tech Center,,High Plains Tech Center,Northern Power Systems,1,2010,4,8 - 8.5,8 - 8.5,
High Plains,In Service,99,Southwest of Rock River WY,PacifiCorp,PacifiCorp,PacifiCorp,GE Energy,66,2009,6,9 - 9.5,9 - 9.5,
High Sheldon Energy Wind Farm,In Service,112.5,WY County NY,Invenergy,Invenergy,Market,GE Energy,75,2009,3,6 - 6.5,6.5 - 7,
High Winds,In Service,162,Solano County CA,NextEra Energy Resources,NextEra Energy Resources,PPM Energy Inc,Vestas,90,2003,5,7.5 - 8,7.5 - 8,
Highland New Wind,Under Construction,38,Red Oak Knob and Tamarack Ridge VA,Highland New Wind LLC,Henry McBride,,,19,0,4,5 - 5.5,5.5 - 6,
Highland Wind Project,In Service,62.5,Cambria County PA,,EverPower Renewables,,Nordex,25,2009,3,6 - 6.5,6.5 - 7,
Highmore Wind Energy Project,In Service,40.5,South of Highmore SD,NextEra Energy Resources,NextEra Energy Resources,Basin Electric,GE Energy,27,2003,6,8.5 - 9,8.5 - 9,
Hilltop,In Service,2,Pipestone MN,Hilltop Power LLC,Hilltop Power LLC,Xcel Energy,DeWind,1,2009,4,8 - 8.5,8.5 - 9,
Hodges Badge,In Service,0.25,Portsmouth RI,Hodges Badge Company,Hodges Badge Company,Hodges Badge Company,Siva,1,2012,3,6 - 6.5,6.5 - 7,
Holy Name Central Catholic School Wind Turbine,In Service,0.6,Worcester MA,Holy Name Central Catholic School,Sustainable Energy Developments,Holy Name Central Catholic School,Vestas,1,2008,3,5.5 - 6,5.5 - 6,
Hoosac,In Service,30,Florida MA,Iberdrola Renewables,Iberdrola Renewables,NSTAR,GE Energy,20,2012,6,6 - 6.5,6 - 6.5,
Hoosier Wind Project,In Service,106,Benton County IN,EnXco,EnXco,Indianapolis Power & Light,REpower,53,2009,3,7.5 - 8,7.5 - 8,
Hopkins Ridge II,In Service,7.2,Columbia County,Puget Sound Energy,RES Americas,Puget Sound Energy,Vestas,4,2008,5,7 - 7.5,7.5 - 8,
Hopkins Ridge Wind Farm,In Service,149.4,Columbia County,Puget Sound Energy,RES America,Puget Sound Energy,Vestas,83,2005,5,7 - 7.5,7.5 - 8,
Horse Butte Wind Project,In Service,57.6,Bonneville ID,Horse Butte Wind 1 LLC,Utah Associated Municipal Power Systems,,Vestas,32,2012,2,6 - 6.5,6.5 - 7,
Horse Hollow Expansion,In Service,3,Near Abilene TX,NextEra Energy Resources,NextEra Energy Resources,Market,GE Energy,2,2006,3,8 - 8.5,8.5 - 9,
Horse Hollow II,In Service,299,Taylor County TX,NextEra Energy Resources,NextEra Energy Resources,Market,Siemens,130,2006,4,8 - 8.5,8 - 8.5,
Horse Hollow III,In Service,223.5,Taylor County TX,NextEra Energy Resources,NextEra Energy Resources,Market,GE Energy,149,2006,4,7.5 - 8,8 - 8.5,
Horse Hollow Wind Energy Center,In Service,213,Near Abilene TX,NextEra Energy Resources,NextEra Energy Resources,,GE Energy,142,2005,4,7.5 - 8,8 - 8.5,
Horseshoe Bend,In Service,9,West of Great Falls MT,United Materials,Exergy Development Group,Idaho Power,GE Energy,6,2006,3,6.5 - 7,6.5 - 7,
Hot Springs,In Service,21,Elmore County ID,Idaho Windfarms / John Deere,Idaho Windfarms,Idaho Power,Suzlon Energy Company,21,2009,3,5.5 - 6,5.5 - 6,
Howard,In Service,51.25,Hornell NY,EverPower,EverPower,NYSERDA / Merchant,REpower,25,2011,2,5.5 - 6,5.5 - 6,
Howard Wind Energy Project,In Service,0.22,Howard SD,City of Howard,City of Howard,City of Howard,Micon,2,2001,4,8 - 8.5,8.5 - 9,
