Facility,Status,Capacity (MW),Location,Owner,Developer,Energy Purchaser,Turbine Mfg.,No. of Turbines,Commercial Online Date,Wind Power Class,Wind Speed Range - 80m,Wind Speed Range - 100m,Offshore Wind Speed Range - 90m
Aurora Wal Mart,In Service,0.05,Aurora CO,Aurora Wal Mart,Aurora Wal Mart,Aurora Wal Mart,Bergey Windpower,1,2005,1,6 - 6.5,6 - 6.5,
BLM-JCI,In Service,0.1,Rawlins WY,BLM-JCI,,BLM-JCI,Northern Power Systems,1,2010,4,8.5 - 9,9 - 9.5,
Baileyville Wind Project,Under Construction,80,Ogle County IL,Apex Wind Energy,Apex Wind Energy,,Gamesa,40,0,2,7 - 7.5,7 - 7.5,
Baldwin Wind Farm,In Service,102.4,Burleigh County near Wilton ND,NextEra Energy Resources,NextEra Energy Resources,Basin Electric,GE Energy,64,2010,4,7.5 - 8,8 - 8.5,
Bartlett's Ocean View Wind Farm,In Service,0.25,Nantucket MA,Bartlett's Ocean View Wind Farm,,Bartlett's Ocean View Wind Farm,Wind Energy Solutions,1,2009,5,7.5 - 8,7.5 - 8,
Barton Chapel Wind,In Service,120,Jack County TX,Iberdrola Renewables,Iberdrola Renewables,,Gamesa,60,2009,2,6.5 - 7,7 - 7.5,
Barton Wind Farm,In Service,160,Worth County IA,Iberdrola Renewables,Iberdrola Renewables,NIPSCO,Gamesa,80,2009,4,7.5 - 8,8 - 8.5,
Baseline Wind Energy Facility,Proposed,500,Gilliam County OR,First Wind,First Wind,,Undetermined,250,0,3,6 - 6.5,6 - 6.5,
Bayonne Wind Energy Project,In Service,1.5,Bayonne NJ,Bayonne Municipal Utility Authority,Bayonne Municipal Utility Authority,,Leitner-Poma,1,2012,2,5.5 - 6,6 - 6.5,
Bayshore Regional Sewerage Authority (BRSA),Proposed,1.5,Union Beach NJ,Bayshore Regional Sewerage Authority (BRSA),Bayshore Regional Sewerage Authority (BRSA),Bayshore Regional Sewerage Authority (BRSA),GE Energy,1,0,2,5.5 - 6,6 - 6.5,
Bear Creek,In Service,24,Near Bear Creek Village PA,Babcock & Brown owns majority,CEI Iberdrola,PPL Corp.,Gamesa,12,2006,2,5.5 - 6,5.5 - 6,
Beaulieu,In Service,0.05,Aroostook County ME,Private owner,Private owner,Maine Public Power,Atlantic Orient Co.,1,1999,4,6.5 - 7,7 - 7.5,
Beebe Community Wind,In Service,81.6,Ithaca MI,Exelon Wind,Nordex,Consumers Energy,Nordex,34,2012,3,6 - 6.5,6.5 - 7,
Beech Ridge Energy,Under Construction,84,Greenbrier County WV,Invenergy,Invenergy,AEP-Appalachian Power,GE Energy,56,0,4,4.5 - 5,5 - 5.5,
Bellevue High School,In Service,0.1,Bellevue WA,Bellevue High School,,Bellevue High School,Northern Power Systems,1,2010,3,6.5 - 7,7 - 7.5,
Bennett Creek,In Service,21,Elmore County ID,Idaho Windfarms / John Deere,Idaho Windfarms,,Suzlon Energy Company,10,2009,4,6.5 - 7,6.5 - 7,
Bent Tree Wind Farm,In Service,201.3,4 miles North of Albert Lea MN,Wisconsin Power and Light Co.,Wisconsin Power and Light Co.,,Vestas,122,2011,4,7.5 - 8,8 - 8.5,
Bergey Windpower Headquarters,In Service,0.05,Norman OK,Bergey Windpower,Bergey Windpower,Bergey Windpower,Bergey Windpower 50-kW,1,2005,2,6.5 - 7,7 - 7.5,
Berkshire East Ski Area,In Service,0.9,Charlemont MA,Sustainable Energy Development,,Berkshire East Ski Area,PowerWind,1,2010,3,5.5 - 6,5.5 - 6,
Berkshire Wind Farm,In Service,15,Brodie Mountain MA,,Berkshire Wind Power LLC with DisGen and MTC,Consortium of municipal utilities,,10,2011,5,5 - 5.5,5.5 - 6,
Big Blue Wind Farm,In Service,36,Blue Earth MN,Exergy,Exergy,Xcel Energy,Gamesa,18,2012,3,7.5 - 8,8 - 8.5,
