Department,Name
DOD,Lake Ashtabula
DOD,Lake Barkley
DOD,Lake Barkley
DOD,Lake Cumberland
DOD,Lake Francis Case
FS,Mount Stirling Wilderness Study Area
BOR,Hyatt Reservoir
DOD,Keystone Lake
DOD,Success Lake
DOD,Lake Greeson
DOD,Lake Kaweah
DOD,Lake O' The Pines
DOD,Lake Oahe
BOR,Steinaker Reservoir
DOD,Lake Koocanusa
DOD,Lake Moomaw
DOD,Mount Morris Lake
BOR,Twin Lakes Reservoir
DOD,Lake Ocklawaha
DOD,Lake Ouachita
DOD,Lake Pend Oreille
BLM,Windy Gulch Wilderness Study Area
DOD,Lake Ray Roberts
DOD,Lake Red Rock
DOD,Mud Lake
DOD,Lake Sacajawea
DOD,Lake Sakakawea
DOD,Lake Sharpe
DOD,Melvern Lake
BOR,Flaming Gorge Reservoir
DOD,Lake Seminole
BOR,Hyrum Reservoir
DOD,Lake Shelbyville
DOD,Lake Sidney Lanier
DOD,Lost Creek Lake
DOD,Lake Texoma
DOD,Lake Texoma
DOD,Lake Tholocco
DOD,Lake Traverse
DOD,Loyalhanna Lake
BIA,Augustine Indian Reservation
DOD,Lake Wallula
DOD,Laurel River Lake
DOD,Lavon Lake
FS,West Pioneer Mountains Wilderness Study Area
DOD,Lucky Peak Lake
FS,Sawtooth Wilderness Study Area
DOD,Leesville Lake
DOD,Mahoning Creek Lake
DOD,Lewis And Clark Lake
DOD,Lewisville Lake
DOD,Lookout Point Lake
BIA,La Jolla Indian Reservation
DOD,Mark Twain Lake
DOD,Mash Lake
DOD,Michael J. Kirwan Reservoir
NPS,Walnut Canyon National Monument
DOD,Milford Lake
DOD,Millwood Lake
DOD,Mississinewa Lake
DOD,Optima Lake
DOD,Mohawk Reservoir
DOD,Monroe Lake
DOD,Mosquito Creek Lake
BOR,Moon Lake
DOD,Navarro Mills Lake
DOD,Nimrod Lake
DOD,Norfork Lake
DOD,North Fork Pound Lake
DOD,North Springfield Lake
DOD,O. C. Fisher Lake
DOD,Okatibbee Lake
DOD,Old Hickory Lake
DOD,Oologah Lake
BIA,La Posta Indian Reservation
DOD,Ozark Lake
DOD,Paint Creek Lake
DOD,Pat Mayse Lake
DOD,Piedmont Lake
DOD,Camp Bullis
DOD,Patoka Lake
DOD,Perry Lake
DOD,Philpott Lake
DOD,Camp Dodge Military Reservation
DOD,Pine Creek Lake
DOD,Pine Flat Reservoir
DOD,Pipestem Lake
DOD,Pleasant Hill Lake
DOD,Pokegama Lake
DOD,Charles Melvin Price Support Center
DOD,Cornhusker Army Ammunition Plant
DOD,Craney Island Disposal Area
DOD,Pomme De Terre Lake
DOD,Pomona Lake
DOD,Proctor Lake
DOD,Prompton Lake
DOD,R. B. Woodruff Lake
DOD,R. D. Bailey Lake
DOD,Rathbun Lake
DOD,Raystown Lake
DOD,Custer Reserve Forces Training Area
DOD,Defense Depot Ogden (Closed)
DOD,Rend Lake
DOD,Richard B. Russell Lake
DOD,Tionesta Lake
BIA,Manzanita Indian Reservation
DOD,Robert S. Kerr Lake
DOD,Sardis Lake
FWS,Mingo Wilderness
DOD,Rough River Lake
DOD,Salamonie Lake
DOD,Sam Rayburn Reservoir
DOD,Santa Rosa Lake
NPS,Grand Canyon National Park Wilderness Study Area
NPS,Lake Mead National Recreation Wilderness Study Area
DOD,Dugway Proving Grounds
DOD,Sardis Lake
DOD,Saylorville Lake
BLM,Wildcat Canyon Wilderness Study Area
DOD,Senecaville Lake
FWS,Bear Valley Wetlands Study Area
DOD,Shenango Lake
DOD,Skiatook Lake
DOD,Somerville Lake
DOD,Steinhagen Lake
DOD,Stonewall Jackson Lake
DOD,Edgewood Arsenal
FWS,Mollie Beattie Wilderness
DOD,Stillhouse Hollow Lake
DOD,Stockton Lake
DOD,Summersville Lake
DOD,Sutton Lake
DOD,Table Rock Lake
DOD,Tenkiller Ferry Lake
DOD,Eklutna Army Mountain and Glacier Training Site
DOD,Fitzsimons Army Medical Center (Closed)
DOD,Table Rock Lake
DOD,Table Rock Lake
FS,Antelope Range Wilderness Study Area
DOD,Tappan Lake
DOD,Toronto Lake
DOD,Tuttle Creek Lake
BLM,Winter Range Wilderness Study Area
DOD,Waurika Lake
DOD,Florence Military Reservation
DOD,Tygart Lake
DOD,W. Kerr Scott Reservoir
DOD,Waco Lake
DOD,Woodcock Creek Lake
DOD,Fort Bliss
DOD,Walter F. George Lake
DOD,Wappapello Lake
DOD,Walter F. George Lake
DOD,Wappapello Lake
DOD,Fort Drum
DOD,Webbers Falls Reservoir
DOD,West Point Lake
DOD,Fort Ethan Allen Military Reservation
DOD,Whitney Lake
DOD,Whitney Point Lake
DOD,Willam H. Harsha Lake
DOD,Lake Francis Case
DOD,Lake Sakakawea
DOD,Coffeeville Lake
DOD,William Dannelly Reservoir
DOD,Wills Creek Lake
DOD,Wilson Lake
DOD,Wister Lake
DOD,Wright Patman Lake
DOD,Youghiogheny River Lake
DOD,Detroit Lake
BIA,Maricopa Indian Reservation
DOD,Lake Sharpe
DOD,John W. Flanagan Reservoir
DOD,Lake Winnibigoshish
BLM,Winter Ridge Wilderness Study Area
BIA,Mashantucket Pequot Indian Reservation
DOD,Lake Winnibigoshish
DOD,Laurel River Lake
DOD,Leech Lake
DOD,Leech Lake
DOD,Burr Oak Lake
DOD,Cave Run Lake
DOD,Lookout Point Lake
DOD,Pine Flat Reservoir
FS,Big Snowies Wilderness Study Area
DOD,Pine Flat Reservoir
DOD,Table Rock Lake
DOD,Tionesta Lake
DOD,
FWS,Kellys Slough National Wildlife Refuge
DOD,Lake Barkley
DOD,Lake Texoma
DOD,Robert S. Kerr Lake
DOD,Walter F. George Lake
DOD,
FWS,Kenai National Wildlife Refuge
DOD,Aberdeen Proving Ground Military Reservation
DOD,Aliamanu Military Reservation
DOD,Anniston Army Depot
DOD,Arlington National Cemetery
DOD,Army Chemical Center
DOD,Army Reserve Outdoor Training Area
DOD,Army Training Area
DOD,Badger Army Ammunition Plant
DOD,Bearmouth National Guard Training Area
DOD,Belle Mead General Depot
DOD,Black Rapids Training Site
DOD,Blossom Point Field Test Facility
DOD,Buckeye National Guard Target Range
DOD,Buckley Air National Guard AF Base
DOD,Camden Test Annex
DOD,Camp Grayling Military Reservation
DOD,Camp Johnson
DOD,Camp Joseph T. Robinson
DOD,Camp MacKall Military Reservation
DOD,Camp Parks Military Reservation
DOD,Camp Riley Military Reservation
DOD,Camp Roberts Military Reservation
DOD,Camp Santiago U.S. Military Reservation
DOD,Camp Swift N. G. Facility
DOD,Camp Williams
DOD,Camp Williams
FWS,Kern National Wildlife Refuge
DOD,Fort Belvoir Military Reservation
DOD,Fort Benjamin Harrison (Closed)
DOD,Fort Benning Military Reservation
DOD,Lexington-Blue Grass Army Depot (Closed)
DOD,Fort Bragg Military Reservation
DOD,Fort Buchanan Military Reservation
DOD,Fort Campbell
DOD,Fort Eustis Military Reservation
DOD,Fort George G. Meade
DOD,Fort Gillem Heliport
FS,Blue Joint Wilderness Study Area
DOD,Fort Carson Military Reservation
DOD,Fort Chaffee (Closed)
DOD,Fort Devens (Closed)
DOD,Fort Dix Military Reservation
DOD,Fort Wolters
BLM,Gunnison Gorge Wilderness Study Area
DOD,Fort Gordon
DOD,Fort Huachuca
DOD,Gerstle River Test Site (Army)
DOD,Globecom Radio Receiving Station
DOD,Fort Greely (Scheduled to close)
DOD,Fort Hood
DOD,Fort Leonard Wood Military Reservation
DOD,Fort Indiantown Gap Military Reservation (Closed)
DOD,Fort Irwin
DOD,Fort Jackson
DOD,Fort Knox
DOD,Fort Leavenworth Military Reservation
DOD,Fort Lee Military Reservation
DOD,Greencastle Military Reservation
DOD,Fort Lewis Military Reservation
DOD,Fort MacArthur
DOD,Fort McClellan Military Reservation (Closed)
DOD,Fort McCoy
DOD,Fort McPherson
DOD,Fort Monmouth Military Reservation
DOD,Fort Monroe Military Reservation
DOD,Fort Ord Military Reservation (Closed)
DOD,Fort Pickett Military Reservation (Closed)
DOD,Fort Polk Military Reservation
DOD,Kearney Rifle Range
DOD,Fort Richardson Military Reservation
DOD,Fort Riley Military Reservation
