Bus Name,Number of Lines,Total Capacity (kV)
Jemez Mountains Electric Coop Inc,1,69
Public Service Co of New Mexico,1,345
Tri State Generation & Transmission Association Inc,1,138
Public Service Co of Colorado,1,230
Undetermined Company,1,115
Undetermined Company,1,115
Tri State Generation & Transmission Association Inc,1,115
Tri State Generation & Transmission Association Inc,1,115
Public Service Co of Colorado,1,345
Undetermined Company,1,4
Undetermined Company,1,69
Public Service Co of Colorado,1,69
Public Service Co of Colorado,1,345
Public Service Co of Colorado,1,69
Undetermined Company,1,4
Undetermined Company,1,4
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,46
Undetermined Company,1,4
Western Area Power Administration,1,230
Farmington NM (City of),1,230
Public Service Co of Colorado,1,345
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Farmington NM (City of),1,69
Navajo Tribal Utility Authority,1,69
Navajo Tribal Utility Authority,1,69
Public Service Co of Colorado,1,230
Public Service Co of Colorado,1,230
Public Service Co of Colorado,1,230
Public Service Co of Colorado,1,230
Public Service Co of Colorado,1,230
Public Service Co of New Mexico,1,115
Public Service Co of New Mexico,1,115
Western Area Power Administration,1,230
Public Service Co of Colorado,1,230
Public Service Co of Colorado,1,230
Tri State Generation & Transmission Association Inc,1,230
Undetermined Company,1,115
Farmington NM (City of),1,115
Public Service Co of New Mexico,1,115
Tri State Generation & Transmission Association Inc,1,115
Farmington NM (City of),1,115
Undetermined Company,1,115
Tri State Generation & Transmission Association Inc,1,115
Tri State Generation & Transmission Association Inc,1,115
Undetermined Company,1,115
United States Dept of Energy,1,115
Public Service Co of Colorado,1,115
Public Service Co of Colorado,1,115
Public Service Co of Colorado,1,115
Undetermined Company,1,115
Public Service Co of Colorado,1,115
Public Service Co of Colorado,2,230
Public Service Co of Colorado,1,115
Public Service Co of Colorado,1,138
Tri State Generation & Transmission Association Inc,1,115
Tri State Generation & Transmission Association Inc,1,115
Undetermined Company,1,115
Western Area Power Administration,1,115
Tri State Generation & Transmission Association Inc,1,115
Undetermined Company,1,115
Undetermined Company,1,115
Undetermined Company,1,115
Tri State Generation & Transmission Association Inc,1,115
Tri State Generation & Transmission Association Inc,1,115
Tri State Generation & Transmission Association Inc,1,115
Public Service Co of Colorado,1,230
Tri State Generation & Transmission Association Inc,1,230
Western Area Power Administration,1,230
Northern Rio Arriba E Coop Inc,1,69
PacifiCorp,1,345
PacifiCorp,1,69
Public Service Co of Colorado,1,115
PacifiCorp,1,500
TransWest Express LLC,1,600
Milford Wind Corridor LLC,1,345
PacifiCorp,1,69
PacifiCorp,1,345
PacifiCorp,1,69
PacifiCorp,1,500
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,69
Western Area Power Administration,1,69
PacifiCorp,1,69
PacifiCorp,1,69
TransWest Express LLC,1,600
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,2,690
PacifiCorp,1,46
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,500
Undetermined Company,1,4
Undetermined Company,1,4
Undetermined Company,1,4
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,345
PacifiCorp,3,138
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,2,690
PacifiCorp,2,690
TransWest Express LLC,1,600
PacifiCorp,1,138
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
Western Area Power Administration,1,230
PacifiCorp,1,138
PacifiCorp,1,230
PacifiCorp,1,230
PacifiCorp,1,345
PacifiCorp,1,46
Tri State Generation & Transmission Association Inc,1,115
PacifiCorp,1,69
PacifiCorp,1,46
Western Area Power Administration,1,230
Tri State Generation & Transmission Association Inc,1,115
PacifiCorp,1,138
Tri State Generation & Transmission Association Inc,1,115
PacifiCorp,1,230
PacifiCorp,1,230
Deseret Power Electric Coop,1,138
Tri State Generation & Transmission Association Inc,1,115
Western Area Power Administration,1,115
Western Area Power Administration,1,138
Western Area Power Administration,1,138
TransWest Express LLC,1,600
Undetermined Company,1,4
Undetermined Company,1,69
Western Area Power Administration,1,345
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,2,92
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,69
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,46
PacifiCorp,1,-99
PacifiCorp,1,345
PacifiCorp,2,1000
PacifiCorp,1,46
PacifiCorp,1,345
PacifiCorp,1,46
